TSNE1,TSNE2,Ticker,Sector
48.48751,24.376083,AAPL,Technology
61.763603,-27.126122,BAC,Financials
-149.1799,-92.89684,CAT,Industrials
-106.28983,-137.31699,CVX,Energy
28.979757,-35.4467,DAL,Transportation
-97.07439,-76.950806,GOOGL,Technology
36.223568,-61.898636,GS,Other
-52.405792,-70.178055,HAL,Energy
-115.284256,-100.725555,JNJ,Healthcare
67.69576,4.722373,JPM,Financials
-42.303093,-41.9881,KO,Consumer Staples
83.56772,139.00992,MCD,Consumer Staples
101.057915,168.45016,META,Technology
115.895065,132.45047,MMM,Industrials
-14.084303,188.69562,MSFT,Technology
-43.812855,200.18576,NKE,Consumer Discretionary
-34.495274,-15.625915,NVDA,Technology
95.63414,111.473854,PFE,Healthcare
-19.774984,165.63515,UNH,Healthcare
-134.76921,-135.17311,XOM,Energy
