,Date,Open,High,Low,Close,Volume
0,2024-05-07 00:00:00-04:00,463.1501848954651,468.3548909827228,458.2037074526032,465.0870361328125,13406800
1,2024-05-08 00:00:00-04:00,460.37896403219986,472.3776084845462,459.8823308455416,469.4176940917969,11683900
2,2024-05-09 00:00:00-04:00,466.83517215291295,472.87421806387255,464.481135815607,472.21868896484375,9437700
3,2024-05-10 00:00:00-04:00,473.87749114181366,474.2847340273294,466.43793506604857,472.9934997558594,10750000
4,2024-05-13 00:00:00-04:00,469.5666850409423,470.1626509363038,459.73335385977305,464.8586120605469,14668800
5,2024-05-14 00:00:00-04:00,460.2498499695703,469.3581162552764,456.9819950045203,468.6727600097656,10478600
6,2024-05-15 00:00:00-04:00,471.7816605384409,479.25101255755794,468.02711495824536,478.2974853515625,13100500
7,2024-05-16 00:00:00-04:00,471.801527600696,474.4734165714435,469.5666782594295,470.04345703125,16608200
8,2024-05-17 00:00:00-04:00,467.6596161293241,469.61635219313234,465.265870726958,468.73236083984375,10807300
9,2024-05-20 00:00:00-04:00,466.78555537893186,470.01367116907085,463.89514652631107,465.6830139160156,11745100
10,2024-05-21 00:00:00-04:00,463.9745969325562,467.5305076270988,459.15724881960597,461.5013732910156,11742200
11,2024-05-22 00:00:00-04:00,464.71954780965524,470.5301623382244,462.51449517924743,464.6301574707031,10078600
12,2024-05-23 00:00:00-04:00,469.6958441033179,471.16585905076363,458.43220618871834,462.6436462402344,11747900
13,2024-05-24 00:00:00-04:00,464.4712177669983,476.61887645447604,463.16009887613995,474.9998474121094,12024300
14,2024-05-28 00:00:00-04:00,473.37087913585106,477.6220580395815,471.6426053305284,476.68841552734375,10175800
15,2024-05-29 00:00:00-04:00,471.4638000883628,476.618854768797,470.5102728984341,471.1658020019531,9226200
16,2024-05-30 00:00:00-04:00,468.4939760428169,468.5535696018269,461.5808200768087,463.9050598144531,10719600
17,2024-05-31 00:00:00-04:00,462.66342984466667,465.9610812315001,451.39979365400546,463.6864929199219,16919800
18,2024-06-03 00:00:00-04:00,467.68941896049296,476.3705882132415,465.0870657511374,474.2747802734375,11279400
19,2024-06-04 00:00:00-04:00,473.78804905282203,475.6653370045295,470.04344582485936,473.7781066894531,7088700
20,2024-06-05 00:00:00-04:00,481.18789892832643,493.30573030037567,480.65152660799043,491.7264404296875,15690500
21,2024-06-06 00:00:00-04:00,489.6604646276873,499.4342020437463,487.58454155763394,490.4352111816406,10667300
22,2024-06-07 00:00:00-04:00,492.57074247783544,495.5505416682554,486.8694030600324,489.6405944824219,9380700
23,2024-06-10 00:00:00-04:00,490.5345592888621,499.2753223223869,490.08760756920253,499.2157287597656,11220900
24,2024-06-11 00:00:00-04:00,496.7920821312561,504.18198591577544,494.91479425221536,504.0528564453125,9673700
25,2024-06-12 00:00:00-04:00,510.52895078627483,510.5488355125895,501.0730662457402,505.41363525390625,11983200
26,2024-06-13 00:00:00-04:00,502.30477188866905,505.93018839723624,497.98405673480437,500.70562744140625,9954600
27,2024-06-14 00:00:00-04:00,499.76102858798566,504.2351649770315,497.87195484771325,501.2623596191406,10243300
28,2024-06-17 00:00:00-04:00,498.78668605391897,507.81448578396373,493.15921302560884,503.7181701660156,11266600
29,2024-06-18 00:00:00-04:00,501.6600694232584,503.0917955375381,492.1748915017007,496.61920166015625,13060400
30,2024-06-20 00:00:00-04:00,499.1148224913511,500.7752377414344,493.9148702900185,498.8165588378906,11801200
31,2024-06-21 00:00:00-04:00,500.5564312705626,500.5564312705626,489.56000109168275,491.9362487792969,22359200
32,2024-06-24 00:00:00-04:00,496.33091377345426,504.88146192373665,491.44912982983715,496.0425720214844,13525300
33,2024-06-25 00:00:00-04:00,494.193234056006,507.77472797570107,492.65215468981233,507.6653747558594,12063200
34,2024-06-26 00:00:00-04:00,503.7380827860577,510.85693517121933,501.77940391512504,510.1708984375,8882300
35,2024-06-27 00:00:00-04:00,511.294373925033,519.8747782877508,510.9464098062174,516.5738525390625,10121200
36,2024-06-28 00:00:00-04:00,514.1776987031992,518.8804935548256,500.94417016641717,501.3219909667969,15855100
37,2024-07-01 00:00:00-04:00,502.0478560452752,503.6684622749848,490.3355617817053,501.7793884277344,10328200
38,2024-07-02 00:00:00-04:00,497.8819580091871,507.56596894119156,496.5794894878585,506.57171630859375,7739500
39,2024-07-03 00:00:00-04:00,503.45965920114367,508.3414428657344,503.1116647399918,507.0290222167969,6005600
40,2024-07-05 00:00:00-04:00,508.659626943001,537.7613890905714,508.659626943001,536.806884765625,21354100
41,2024-07-08 00:00:00-04:00,539.2329753391592,539.6903534680489,523.6232551138687,526.2778930664062,14917500
42,2024-07-09 00:00:00-04:00,530.6823045262751,534.3908471604564,525.1542627135257,526.953857421875,8753200
43,2024-07-10 00:00:00-04:00,527.739333812602,535.7828643236683,525.3233071938398,531.616943359375,10983300
44,2024-07-11 00:00:00-04:00,527.8387522591509,532.3824937070442,505.44816535369097,509.7532958984375,16458300
45,2024-07-12 00:00:00-04:00,494.89917130590845,505.16978705228513,491.3894609308073,496.0027770996094,19750500
46,2024-07-15 00:00:00-04:00,495.764185294849,503.76790669294775,490.5344068407608,493.3083801269531,12539200
47,2024-07-16 00:00:00-04:00,498.61769595186473,501.0536270420419,482.9979955675087,486.9750061035156,14075800
48,2024-07-17 00:00:00-04:00,476.4159666762798,476.4159666762798,456.4811865614618,459.3346862792969,28076600
