,Date,Open,High,Low,Close,Volume
0,2024-05-07 00:00:00-04:00,148.87880442330956,149.64929085289606,148.61280815456675,149.20901489257812,6869900
1,2024-05-08 00:00:00-04:00,148.54857826194646,149.58507484690472,148.172502545761,149.08975219726562,6706400
2,2024-05-09 00:00:00-04:00,149.5300469026786,151.81398965065586,149.26403665738462,151.7589569091797,6683300
3,2024-05-10 00:00:00-04:00,152.30010966200393,152.64866897099347,151.3645251949017,152.09832763671875,5490900
4,2024-05-13 00:00:00-04:00,152.70373430915254,153.09815897924275,149.49336018734672,150.91510009765625,6848300
5,2024-05-14 00:00:00-04:00,150.7408164075028,151.52965173063862,149.53005404880594,150.07122802734375,4924000
6,2024-05-15 00:00:00-04:00,149.63092253658183,150.2454780513023,146.9158577290463,149.5575408935547,7603100
7,2024-05-16 00:00:00-04:00,149.65945273998537,150.09491442517776,148.68661250418435,149.2517852783203,6409400
8,2024-05-17 00:00:00-04:00,149.86332411133523,150.99366994351115,149.34447962524501,150.71571350097656,5497900
9,2024-05-20 00:00:00-04:00,150.76204752835858,151.02146978103534,149.23330824383828,149.29815673828125,4913800
10,2024-05-21 00:00:00-04:00,148.77928415854922,149.59461916308248,148.00101754737648,148.214111328125,4783300
11,2024-05-22 00:00:00-04:00,147.79720468500508,147.79720468500508,145.0176685630169,145.99050903320312,6260500
12,2024-05-23 00:00:00-04:00,146.31477714148886,146.94481266931768,144.84162641623766,145.40679931640625,6718400
13,2024-05-24 00:00:00-04:00,146.46300771372856,147.28760276662211,145.74032953871847,146.15725708007812,4477700
14,2024-05-28 00:00:00-04:00,146.50007342210424,147.70454185375533,146.34256807805426,147.3524627685547,6928300
15,2024-05-29 00:00:00-04:00,146.40743883243573,146.8429006291119,144.94354808961293,145.36973571777344,5909600
16,2024-05-30 00:00:00-04:00,145.32342001982084,146.81510497886302,145.28635162102063,146.62979125976562,6369600
17,2024-05-31 00:00:00-04:00,146.97259708245247,150.63231650551995,146.8614060335261,150.37289428710938,10334200
18,2024-06-03 00:00:00-04:00,149.62240676327755,149.79843214287024,144.96205319479245,145.88856506347656,9009900
19,2024-06-04 00:00:00-04:00,144.2764225350898,144.8601295088844,142.7847379311858,144.6562957763672,6360500
20,2024-06-05 00:00:00-04:00,144.68409640721308,145.48089717757935,143.17387754144409,143.59080505371094,7058500
21,2024-06-06 00:00:00-04:00,143.14611805545496,144.55442039222189,142.11768906897592,144.4710235595703,5215100
22,2024-06-07 00:00:00-04:00,144.26718045760467,146.10167014107807,143.72980183568816,144.6099853515625,5887700
23,2024-06-10 00:00:00-04:00,144.91574592424743,146.57419619076433,144.83236323688402,145.22149658203125,7074700
24,2024-06-11 00:00:00-04:00,144.69336231010175,145.23074091076313,143.1275549307944,144.98985290527344,5132000
25,2024-06-12 00:00:00-04:00,145.91638656791307,146.04609768828064,141.20042953019163,142.88668823242188,10017400
26,2024-06-13 00:00:00-04:00,142.4697414372236,142.7662178991931,141.04290516805514,141.6080780029297,6163000
27,2024-06-14 00:00:00-04:00,141.87678512467073,142.02501629816075,140.8020278265248,141.35794067382812,6159100
28,2024-06-17 00:00:00-04:00,141.2930927061814,142.61799819935072,140.76497403271227,141.93238830566406,6321400
29,2024-06-18 00:00:00-04:00,142.26592178563732,144.48954495188474,141.6080920388788,142.0620880126953,6942900
30,2024-06-20 00:00:00-04:00,142.4141567533424,145.8422481095203,141.98795503975964,145.1288299560547,8336000
31,2024-06-21 00:00:00-04:00,145.2770611278957,146.08312191463497,143.81317070618093,143.86875915527344,21289800
32,2024-06-24 00:00:00-04:00,144.78602527060212,147.81570914481907,144.71190261867858,147.6026153564453,7971600
33,2024-06-25 00:00:00-04:00,147.426565831732,147.64893377242905,146.0831264331297,146.81507873535156,5985400
34,2024-06-26 00:00:00-04:00,146.8150864599887,146.8150864599887,144.34128716910521,144.48953247070312,8637800
35,2024-06-27 00:00:00-04:00,145.18441660450665,145.40678455719024,144.20231622069193,144.8323516845703,5568700
36,2024-06-28 00:00:00-04:00,145.94417189062182,146.92627233309935,144.69337505542063,144.9250030517578,11283400
37,2024-07-01 00:00:00-04:00,145.61063682281846,147.03745915592793,144.51734525495763,145.01766967773438,5584100
38,2024-07-02 00:00:00-04:00,146.09239270751982,146.1294611012786,144.02627508514271,145.23074340820312,7216800
39,2024-07-03 00:00:00-04:00,145.40677357889703,146.1479858944302,145.05469454809275,145.1936798095703,3264200
40,2024-07-05 00:00:00-04:00,145.0454541933748,145.0454541933748,142.38635518086576,142.97006225585938,6183100
41,2024-07-08 00:00:00-04:00,142.05282963423585,143.86878527571977,142.05282963423585,142.9886016845703,4990700
42,2024-07-09 00:00:00-04:00,141.75632716608132,143.38698309498028,141.15410005859115,141.73779296875,5301600
