Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-0.9671986,3.885937,-2.5177279,-0.4395041
BAC,Financial Services,-1.1024371,4.1475515,-2.705214,-1.2326993
CAT,Industrials,-0.9005989,5.452883,-1.0323919,-2.1598341
CVX,Energy,-0.9193119,2.499387,-0.49382716,-1.775815
DAL,Industrials,-0.7994793,3.8668716,-2.3721707,-0.7738591
GOOGL,Communication Services,-1.1491278,4.6148243,-1.4610451,-2.0182364
GS,Financial Services,-0.91691613,4.777011,-2.3510785,-1.7655466
HAL,Energy,-0.85617185,5.374301,-0.6363434,-0.47032738
JNJ,Healthcare,-0.65520793,4.590256,-1.0957751,-2.4743037
JPM,Financial Services,-0.68426037,4.177036,-2.9833858,-1.5970426
KO,Consumer Defensive,-0.64582944,4.1553974,-2.105349,-2.5878813
MCD,Consumer Cyclical,-0.90657926,2.4313323,-3.6385548,-1.6783988
META,Communication Services,-0.8851846,2.0735412,-3.72604,-0.67950493
MMM,Industrials,-0.8509758,2.4992995,-3.7961287,-1.2723594
MSFT,Technology,-0.7927032,1.5531785,-3.6025732,0.020996435
NKE,Consumer Cyclical,-0.41887668,0.88640964,-1.5499492,0.93368506
NVDA,Technology,-1.1292849,4.3136735,-3.029782,-0.8981522
PFE,Healthcare,-0.87336,2.9215636,-1.2551357,0.01533585
UNH,Healthcare,-0.59322065,1.1461508,-1.3974133,1.1296662
XOM,Energy,-0.8519442,2.761407,-0.41773942,-1.9407305
