Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-0.54879427,-0.682296,-19.544617,2.4355447
BAC,Financial Services,-21.44544,0.030773414,-6.2940755,9.6053095
CAT,Industrials,-69.04609,36.770054,24.06553,-11.669533
CVX,Energy,66.277885,-25.328316,33.957832,-20.370565
DAL,Industrials,6.103644,17.247232,-8.16134,-2.38235
GOOGL,Communication Services,-43.62094,24.452612,16.95053,-2.8318605
GS,Financial Services,-35.48332,39.519314,5.8670616,9.3310585
HAL,Energy,-60.317646,49.45421,0.3337371,-29.01486
JNJ,Healthcare,-40.77147,7.048922,30.781618,-3.4740224
JPM,Financial Services,-10.50558,31.1695,-1.4830573,19.287262
KO,Consumer Defensive,-11.33191,13.566874,27.970728,12.408296
MCD,Consumer Cyclical,81.11755,-19.886591,9.8623085,31.284285
META,Communication Services,77.65319,-39.905426,-12.932917,32.98224
MMM,Industrials,51.81286,-30.228703,-0.22949208,34.553043
MSFT,Technology,66.41743,-54.640816,-25.814913,30.148533
NKE,Consumer Cyclical,56.401382,-81.26304,-24.982847,-28.725498
NVDA,Technology,-25.952597,21.036684,-15.25836,16.660759
PFE,Healthcare,50.698757,-11.864938,-10.292468,-24.920517
UNH,Healthcare,71.248726,-71.233284,-24.066828,-38.57058
XOM,Energy,66.78077,-7.5932403,24.507797,-24.222538
