Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,34.287113,-12.13435,19.830183,-19.838223
BAC,Financial Services,85.474625,-8.642404,-9.899753,-35.39083
CAT,Industrials,-70.227974,-124.92487,49.0868,0.4899727
CVX,Energy,68.70592,-62.046894,33.25662,28.153032
DAL,Industrials,51.574577,34.949745,24.831703,-57.972122
GOOGL,Communication Services,-95.030205,-68.969086,-25.37687,28.051497
GS,Financial Services,-52.659363,-40.659435,-12.304927,-70.50411
HAL,Energy,-54.44415,17.53666,75.94968,54.38453
JNJ,Healthcare,-30.507023,-85.42776,78.695564,10.723467
JPM,Financial Services,-92.43942,-11.556112,-43.004276,-45.354725
KO,Consumer Defensive,-42.307568,71.01431,63.84775,-34.248596
MCD,Consumer Cyclical,-0.6603518,28.683287,-4.0291276,52.718056
META,Communication Services,35.70886,-108.17262,-75.33319,-19.958214
MMM,Industrials,-11.217681,-17.125935,-43.00728,-5.3928056
MSFT,Technology,-153.76729,-15.036444,-74.30731,26.606377
NKE,Consumer Cyclical,89.39141,122.082596,9.058263,99.94309
NVDA,Technology,-96.59272,48.973072,-7.45847,-1.5712051
PFE,Healthcare,15.0114565,-57.78817,41.012672,67.43219
UNH,Healthcare,122.09057,70.49191,46.98109,111.61363
XOM,Energy,15.88122,76.34589,106.669205,-7.251598
