Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,6.4120736,-12.32443,-47.002113,-41.035767
BAC,Financial Services,3.7531936,-15.870346,-40.334023,-8.488735
CAT,Industrials,-1.5124134,-32.0519,65.19693,24.343048
CVX,Energy,4.475124,20.269588,58.44822,-8.652091
DAL,Industrials,2.4692872,-11.606302,-22.3208,-29.316402
GOOGL,Communication Services,2.6749334,-24.607164,59.897808,49.239876
GS,Financial Services,4.1957707,-27.789242,-22.23493,10.356823
HAL,Energy,1.1122922,-33.508858,38.03728,-58.34188
JNJ,Healthcare,6.9975367,-24.834032,43.651657,27.236614
JPM,Financial Services,6.5775347,-17.64095,-47.192116,13.970946
KO,Consumer Defensive,0.45605782,-16.441416,12.253056,44.131912
MCD,Consumer Cyclical,7.5355678,22.927574,-47.929623,55.986362
META,Communication Services,3.673032,24.626434,-85.47214,27.637268
MMM,Industrials,8.488491,19.583569,-66.64286,47.491837
MSFT,Technology,-0.15109602,26.100315,-103.699554,5.5668087
NKE,Consumer Cyclical,-7.6029716,24.006716,6.0812283,-101.24417
NVDA,Technology,3.528814,-20.153864,-65.02533,-11.581523
PFE,Healthcare,8.990476,15.817964,18.462858,-70.3451
UNH,Healthcare,-3.9087982,25.147959,20.636763,-115.43249
XOM,Energy,5.3926244,16.601238,77.61165,-0.82299364
