Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-6.910934,0.24339095,-7.16491,-4.59826
BAC,Financial Services,-7.3996882,0.6295578,-6.356517,-7.7364407
CAT,Industrials,-9.330528,0.3331966,-13.062593,-9.321262
CVX,Energy,-4.339978,0.5638105,-16.408567,-8.04938
DAL,Industrials,-6.8678603,0.45478338,-5.6434627,-11.570784
GOOGL,Communication Services,-8.070407,0.13476805,-11.200412,-11.367619
GS,Financial Services,-8.324221,0.33544716,-8.226884,-9.423989
HAL,Energy,-9.246535,0.34278455,-12.586422,-2.1290233
JNJ,Healthcare,-8.026437,0.6895226,-14.580324,-11.141803
JPM,Financial Services,-7.3876905,0.10682854,-4.34883,-8.845023
KO,Consumer Defensive,-7.3767853,0.6869361,-10.908283,-6.862891
MCD,Consumer Cyclical,-4.292041,0.56121325,-1.9013793,-7.5800595
META,Communication Services,-3.7778635,0.48092544,-1.0698913,-4.682141
MMM,Industrials,-4.429759,0.40495136,0.14395733,-8.345024
MSFT,Technology,-3.1324527,0.36438283,-2.7889452,-1.928237
NKE,Consumer Cyclical,-2.2339187,0.027597934,-6.8982153,0.95761305
NVDA,Technology,-7.629012,0.041475404,-4.4191203,-5.9097285
PFE,Healthcare,-4.904295,0.49059123,-9.846827,-1.1007551
UNH,Healthcare,-2.6567395,0.18744491,-10.13514,3.4348383
XOM,Energy,-4.7344975,0.52728236,-14.782912,-6.4877596
