Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,8.488872,-2.080146,-31.388851,29.694265
BAC,Financial Services,16.142597,-7.0881705,-25.321012,22.174057
CAT,Industrials,19.206804,23.255947,-22.528034,7.897719
CVX,Energy,-6.447248,-7.2976704,-14.9504795,15.769613
DAL,Industrials,7.3957143,6.4302416,-38.740692,22.173967
GOOGL,Communication Services,24.381115,-1.3483282,-13.109159,5.9758487
GS,Financial Services,25.159039,7.9049993,-5.7237196,17.984913
HAL,Energy,27.80159,17.574839,8.714373,10.743519
JNJ,Healthcare,16.732895,11.998165,-14.385116,58.498398
JPM,Financial Services,0.39777258,11.971435,-28.984781,49.7153
KO,Consumer Defensive,15.75729,3.1127932,-11.676494,27.321554
MCD,Consumer Cyclical,-4.290802,-16.680414,-21.28634,33.9903
META,Communication Services,-13.665368,-12.449465,-20.052385,43.27802
MMM,Industrials,-11.16751,0.7711691,-32.606983,39.230305
MSFT,Technology,-21.655642,-6.072575,-10.419378,47.276
NKE,Consumer Cyclical,-22.04874,-24.549038,15.645123,24.385365
NVDA,Technology,8.88162,16.40599,-5.826894,37.900063
PFE,Healthcare,-1.5789226,0.08839706,4.3772745,26.387966
UNH,Healthcare,-26.229935,-15.117084,20.75502,32.970047
XOM,Energy,2.599979,-10.311134,-3.5322275,0.6833584
