Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-20.38361,34.439342,16.554337,-20.553448
BAC,Financial Services,-28.17089,-98.084045,-15.682854,-19.03133
CAT,Industrials,-82.072624,-64.66537,-19.580639,16.313162
CVX,Energy,79.64379,23.560171,16.28269,-46.142513
DAL,Industrials,-22.137905,-32.227005,-57.109653,7.1269116
GOOGL,Communication Services,34.403957,59.03566,-3.087956,-34.16053
GS,Financial Services,73.812904,-32.26264,42.391453,15.904597
HAL,Energy,143.06218,32.533287,39.702427,-10.6781025
JNJ,Healthcare,97.71226,84.87655,-9.3114,-56.93998
JPM,Financial Services,91.34435,-92.33826,-39.41648,24.003927
KO,Consumer Defensive,-69.0431,1.4933069,-42.447403,-16.60891
MCD,Consumer Cyclical,24.482674,0.65481704,0.57552534,19.149637
META,Communication Services,134.5292,-36.346775,56.3461,-38.17063
MMM,Industrials,41.54662,122.72827,10.284801,43.571854
MSFT,Technology,-73.38052,78.929085,-25.091135,-1.7181926
NKE,Consumer Cyclical,-168.38608,-12.187646,21.841417,24.270645
NVDA,Technology,26.294006,-61.77419,18.898218,0.9783962
PFE,Healthcare,31.794565,-123.55615,-14.369815,40.719597
UNH,Healthcare,-129.47536,49.435646,-1.1202083,-2.1239576
XOM,Energy,-16.065264,98.96362,-29.936207,-40.139145
