ticker,x,y,sector
AAPL,10.85856,57.661663,Tech
BAC,-37.881863,41.15967,Finance
CAT,-27.113201,2.6194093,Industrial
CVX,-12.755039,-41.132168,Energy
DAL,-55.153053,45.309826,Industrial
GOOGL,-18.066193,16.479475,Tech
GS,-19.890333,46.028103,Finance
HAL,-26.81082,-41.90177,Energy
JNJ,-43.59455,13.80243,Healthcare
JPM,-43.245197,31.547949,Finance
KO,-19.0106,-7.560177,Consumer
MCD,26.479786,33.91582,Consumer
META,27.524662,22.292492,Tech
MMM,20.618351,49.00574,Industrial
MSFT,3.1912224,-33.244614,Tech
NKE,18.457918,-28.581446,Consumer
NVDA,-14.690304,30.02392,Tech
PFE,7.7882504,70.44348,Healthcare
UNH,30.620186,-21.13628,Healthcare
XOM,-15.6593895,-53.153954,Energy
