Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-16 00:00:00-04:00,144.28339226761335,144.75118461380882,142.5589582135173,143.34779357910156,5541900,0.0,0.0
2024-04-17 00:00:00-04:00,143.0817782455731,144.6594487666088,142.76073526894461,143.4578399658203,6733900,0.0,0.0
2024-04-18 00:00:00-04:00,144.1366117431719,144.96213084290875,143.4486744946848,144.53103637695312,4979200,0.0,0.0
2024-04-19 00:00:00-04:00,145.61338663101196,147.44788599014282,145.06303122482495,146.75994873046875,7734700,0.0,0.0
2024-04-22 00:00:00-04:00,146.714074253704,149.2365107144452,145.32903236295422,148.52105712890625,6779200,0.0,0.0
2024-04-23 00:00:00-04:00,147.96154265462832,149.37411499023438,147.31030322399846,149.37411499023438,5597600,0.0,0.0
2024-04-24 00:00:00-04:00,148.48437650550048,150.28217796574918,148.0899518815124,150.03453063964844,7610300,0.0,0.0
2024-04-25 00:00:00-04:00,150.15377115688122,151.896553962107,149.20900509773884,151.60302734375,9702600,0.0,0.0
2024-04-26 00:00:00-04:00,151.55714852189988,153.1623353328387,149.78686349997267,152.16253662109375,9736400,0.0,0.0
2024-04-29 00:00:00-04:00,152.1809036496307,153.28160050894851,151.06185787709023,152.56614685058594,6364000,0.0,0.0
2024-04-30 00:00:00-04:00,152.2359208881896,152.37350273304688,147.63132386668036,147.9248504638672,8457300,0.0,0.0
2024-05-01 00:00:00-04:00,147.47540958767277,148.08996522356276,145.75097562682802,146.4205780029297,7713700,0.0,0.0
2024-05-02 00:00:00-04:00,147.13603752535263,148.39266521920052,146.65906373070501,147.42955017089844,8597100,0.0,0.0
2024-05-03 00:00:00-04:00,147.36531823382143,147.36531823382143,144.04486529652738,146.98924255371094,11664500,0.0,0.0
2024-05-06 00:00:00-04:00,147.429540161076,150.44729950778853,147.429540161076,148.86962890625,8430300,0.0,0.0
2024-05-07 00:00:00-04:00,148.87878919828933,149.6492755490824,148.6127929567485,149.20899963378906,6869900,0.0,0.0
2024-05-08 00:00:00-04:00,148.54859346534835,149.58509015638825,148.17251771067296,149.0897674560547,6706400,0.0,0.0
2024-05-09 00:00:00-04:00,149.5300469026786,151.81398965065586,149.26403665738462,151.7589569091797,6683300,0.0,0.0
2024-05-10 00:00:00-04:00,152.30014022006836,152.64869959899414,151.36455556524695,152.09835815429688,5490900,0.0,0.0
2024-05-13 00:00:00-04:00,152.70373430915254,153.09815897924275,149.49336018734672,150.91510009765625,6848300,0.0,0.0
2024-05-14 00:00:00-04:00,150.7408164075028,151.52965173063862,149.53005404880594,150.07122802734375,4924000,0.0,0.0
2024-05-15 00:00:00-04:00,149.63093780285777,150.245493380279,146.91587271831446,149.55755615234375,7603100,0.0,0.0
2024-05-16 00:00:00-04:00,149.65949864138648,150.09496046013743,148.68665810720987,149.2518310546875,6409400,1.63,0.0
2024-05-17 00:00:00-04:00,149.86332411133523,150.99366994351115,149.34447962524501,150.71571350097656,5497900,0.0,0.0
2024-05-20 00:00:00-04:00,150.76204752835858,151.02146978103534,149.23330824383828,149.29815673828125,4913800,0.0,0.0
2024-05-21 00:00:00-04:00,148.77928415854922,149.59461916308248,148.00101754737648,148.214111328125,4783300,0.0,0.0
2024-05-22 00:00:00-04:00,147.79718923738193,147.79718923738193,145.01765340590822,145.99049377441406,6260500,0.0,0.0
2024-05-23 00:00:00-04:00,146.31476178741786,146.94479724913162,144.84161121675706,145.4067840576172,6718400,0.0,0.0
2024-05-24 00:00:00-04:00,146.46300771372856,147.28760276662211,145.74032953871847,146.15725708007812,4477700,0.0,0.0
2024-05-28 00:00:00-04:00,146.50007342210424,147.70454185375533,146.34256807805426,147.3524627685547,6928300,0.0,0.0
2024-05-29 00:00:00-04:00,146.40740809701182,146.84286980227117,144.9435176615047,145.3697052001953,5909600,0.0,0.0
2024-05-30 00:00:00-04:00,145.3233897741335,146.81507442271618,145.2863213830482,146.6297607421875,6369600,0.0,0.0
2024-05-31 00:00:00-04:00,146.97259708245247,150.63231650551995,146.8614060335261,150.37289428710938,10334200,0.0,0.0
2024-06-03 00:00:00-04:00,149.6224224125969,149.79844781060044,144.9620683566757,145.88858032226562,9009900,0.0,0.0
2024-06-04 00:00:00-04:00,144.27645297252755,144.86016006946454,142.78476805392862,144.6563262939453,6360500,0.0,0.0
2024-06-05 00:00:00-04:00,144.6841117821816,145.4809126372205,143.17389275592802,143.5908203125,7058500,0.0,0.0
2024-06-06 00:00:00-04:00,143.1460878177455,144.5543898570273,142.11765904850836,144.4709930419922,5215100,0.0,0.0
2024-06-07 00:00:00-04:00,144.26718045760467,146.10167014107807,143.72980183568816,144.6099853515625,5887700,0.0,0.0
2024-06-10 00:00:00-04:00,144.91573069758437,146.5741807898437,144.83234801898217,145.2214813232422,7074700,0.0,0.0
2024-06-11 00:00:00-04:00,144.6933927652743,145.23077147904357,143.1275850563946,144.98988342285156,5132000,0.0,0.0
2024-06-12 00:00:00-04:00,145.91637098558422,146.04608209210002,141.2004144514772,142.8866729736328,10017400,0.0,0.0
2024-06-13 00:00:00-04:00,142.46975678886005,142.76623328277597,141.04292036594478,141.60809326171875,6163000,0.0,0.0
2024-06-14 00:00:00-04:00,141.87678512467073,142.02501629816075,140.8020278265248,141.35794067382812,6159100,0.0,0.0
2024-06-17 00:00:00-04:00,141.2930775161214,142.61798286685348,140.76495889942896,141.932373046875,6321400,0.0,0.0
2024-06-18 00:00:00-04:00,142.26592178563732,144.48954495188474,141.6080920388788,142.0620880126953,6942900,0.0,0.0
2024-06-20 00:00:00-04:00,142.4141567533424,145.8422481095203,141.98795503975964,145.1288299560547,8336000,0.0,0.0
2024-06-21 00:00:00-04:00,145.2770919442042,146.08315290192584,143.81320121196757,143.86878967285156,21289800,0.0,0.0
2024-06-24 00:00:00-04:00,144.78602527060212,147.81570914481907,144.71190261867858,147.6026153564453,7971600,0.0,0.0
2024-06-25 00:00:00-04:00,147.42659647641634,147.64896446333566,146.08315679856125,146.8151092529297,5985400,0.0,0.0
2024-06-26 00:00:00-04:00,146.8150864599887,146.8150864599887,144.34128716910521,144.48953247070312,8637800,0.0,0.0
2024-06-27 00:00:00-04:00,145.18443190038747,145.40679987649855,144.2023314131037,144.83236694335938,5568700,0.0,0.0
2024-06-28 00:00:00-04:00,145.94415652452702,146.92625686360168,144.6933598210191,144.92498779296875,11283400,0.0,0.0
2024-07-01 00:00:00-04:00,145.61063682281846,147.03745915592793,144.51734525495763,145.01766967773438,5584100,0.0,0.0
2024-07-02 00:00:00-04:00,146.0924080568388,146.12947645449216,144.0262902173833,145.2307586669922,7216800,0.0,0.0
2024-07-03 00:00:00-04:00,145.40680414126436,146.14801661258946,145.05472503645822,145.19371032714844,3264200,0.0,0.0
2024-07-05 00:00:00-04:00,145.0454541933748,145.0454541933748,142.38635518086576,142.97006225585938,6183100,0.0,0.0
2024-07-08 00:00:00-04:00,142.05282963423585,143.86878527571977,142.05282963423585,142.9886016845703,4990700,0.0,0.0
2024-07-09 00:00:00-04:00,141.75632716608132,143.38698309498028,141.15410005859115,141.73779296875,5301600,0.0,0.0
2024-07-10 00:00:00-04:00,141.29306651191155,144.0170137938709,141.10776695709083,143.72979736328125,5416600,0.0,0.0
2024-07-11 00:00:00-04:00,143.60936220991618,145.16589560789214,142.88668396979142,143.85025024414062,8322500,0.0,0.0
2024-07-12 00:00:00-04:00,144.6841091969377,144.94353141138933,143.2016844251138,144.15599060058594,6446300,0.0,0.0
2024-07-15 00:00:00-04:00,145.41606957123778,147.79721242643913,144.87869086301194,146.42596435546875,5661200,0.0,0.0
2024-07-16 00:00:00-04:00,145.4716231829443,146.6760914378219,144.67482241163597,146.17578125,6924200,0.0,0.0
2024-07-17 00:00:00-04:00,146.85215687621735,149.61315876940995,146.65758312927804,149.38153076171875,7296600,0.0,0.0
2024-07-18 00:00:00-04:00,149.38151475310204,152.2073789715884,148.46427698891065,150.067138671875,6577700,0.0,0.0
2024-07-19 00:00:00-04:00,150.53964723795093,150.74348098381157,146.7687512144277,147.45436096191406,6427700,0.0,0.0
2024-07-22 00:00:00-04:00,146.59273080958764,147.29687484509398,145.32341388457905,145.453125,5577300,0.0,0.0
2024-07-23 00:00:00-04:00,144.86014610535844,145.09177408817004,142.53459210996184,142.76622009277344,6238700,0.0,0.0
2024-07-24 00:00:00-04:00,143.32211532127891,144.2578871675392,142.14544135448455,143.6741943359375,5971700,0.0,0.0
2024-07-25 00:00:00-04:00,143.95216294476805,146.6297820226033,143.25727895428363,145.9626922607422,5432100,0.0,0.0
2024-07-26 00:00:00-04:00,146.13874472797562,147.35247327673116,145.51798333805684,146.24066162109375,5232500,0.0,0.0
2024-07-29 00:00:00-04:00,146.62052072710563,146.62052072710563,143.47964568271496,145.09178161621094,5072000,0.0,0.0
2024-07-30 00:00:00-04:00,144.96206834001262,148.32529716125097,144.94353414221678,147.84352111816406,5740900,0.0,0.0
2024-07-31 00:00:00-04:00,149.8077138316095,149.8077138316095,148.28823485617008,148.6773681640625,6209200,0.0,0.0
2024-08-01 00:00:00-04:00,147.04673555862618,147.77867386701837,140.85762763391168,141.40426635742188,16689900,0.0,0.0
2024-08-02 00:00:00-04:00,140.02376449702294,140.86687968106827,136.21579957309712,137.63336181640625,13278600,0.0,0.0
2024-08-05 00:00:00-04:00,134.82602141464156,135.05764939955114,132.8710806565069,134.0292205810547,13037200,0.0,0.0
2024-08-06 00:00:00-04:00,133.87172940087956,134.42762814096258,132.6023982959139,132.70431518554688,9692700,0.0,0.0
2024-08-07 00:00:00-04:00,133.95510946376513,135.02059263111377,131.82412899161636,131.944580078125,8867900,0.0,0.0
2024-08-08 00:00:00-04:00,132.55607406214264,134.17747000631886,132.2225291881284,133.87171936035156,7531100,0.0,0.0
2024-08-09 00:00:00-04:00,133.6122979875837,135.37266508315815,132.66725181564178,134.33497619628906,7653100,0.0,0.0
2024-08-12 00:00:00-04:00,135.12251021834138,135.95637952260466,129.4244669244076,134.36277770996094,8442200,0.0,0.0
2024-08-13 00:00:00-04:00,133.49183791902948,133.9272996484749,132.53753178108315,133.5566864013672,7794800,0.0,0.0
2024-08-14 00:00:00-04:00,133.77906044993554,134.56660126568252,132.88960275376778,134.03848266601562,5874200,0.0,0.0
2024-08-15 00:00:00-04:00,134.89089229583186,136.67906798771125,134.78897540005167,136.01197814941406,6304200,0.0,0.0
2024-08-16 00:00:00-04:00,135.3170725080481,136.77168891144197,134.93719921729195,136.44741821289062,6874400,0.0,0.0
2024-08-19 00:00:00-04:00,136.794052003712,138.40548920173407,136.68163080709337,137.5623016357422,5967400,1.63,0.0
2024-08-20 00:00:00-04:00,137.09387341405053,137.26250522434398,135.435589134445,135.55738830566406,7497600,0.0,0.0
2024-08-21 00:00:00-04:00,136.25065675676464,137.3842895543131,135.4262108360416,136.14761352539062,5985000,0.0,0.0
2024-08-22 00:00:00-04:00,136.1757178099474,137.0938575832149,135.96960275738266,136.53172302246094,4027000,0.0,0.0
2024-08-23 00:00:00-04:00,137.2812318930621,138.74276460566716,137.08449480249843,138.30242919921875,4824100,0.0,0.0
2024-08-26 00:00:00-04:00,139.56721219767562,140.6165147075768,138.23684243100104,139.1268768310547,5780300,0.0,0.0
2024-08-27 00:00:00-04:00,139.28615021928053,140.11061039154632,137.47797605454087,137.67471313476562,5100000,0.0,0.0
2024-08-28 00:00:00-04:00,137.1969133273137,137.8527274425572,136.2975009009258,136.78468322753906,5614400,0.0,0.0
2024-08-29 00:00:00-04:00,137.21566831008954,138.82709130905943,136.26004519450203,138.1150665283203,4466700,0.0,0.0
2024-08-30 00:00:00-04:00,136.99081701498162,138.73341721422403,136.50363462173172,138.6116180419922,6414800,0.0,0.0
2024-09-03 00:00:00-04:00,136.36309022914904,136.5692052801985,135.17324685184997,135.52926635742188,7944700,0.0,0.0
2024-09-04 00:00:00-04:00,135.51054608094873,136.344370084073,132.72800674897354,133.10276794433594,9820700,0.0,0.0
2024-09-05 00:00:00-04:00,134.1333181220933,134.1333181220933,131.72554018193608,132.03469848632812,9371100,0.0,0.0
2024-09-06 00:00:00-04:00,132.16588229091343,133.1402327772111,129.16785000392304,129.81430053710938,7836400,0.0,0.0
2024-09-09 00:00:00-04:00,129.88924659346955,133.0559105406965,129.7955527280802,131.44447326660156,9892300,0.0,0.0
2024-09-10 00:00:00-04:00,132.00661441955535,132.1752605447549,128.43709773791352,129.50514221191406,8202500,0.0,0.0
2024-09-11 00:00:00-04:00,129.48640345750576,129.7393511794879,126.82564902897157,129.17723083496094,9534000,0.0,0.0
2024-09-12 00:00:00-04:00,129.50512465342536,130.6668628501021,128.74625293211375,130.42327880859375,6591500,0.0,0.0
2024-09-13 00:00:00-04:00,131.04161159711688,132.59683832717914,130.89172142095453,131.7349090576172,5900700,0.0,0.0
2024-09-16 00:00:00-04:00,132.7467283765198,134.13330885119572,132.16586648084657,133.12147521972656,6864300,0.0,0.0
2024-09-17 00:00:00-04:00,132.8497898787483,135.0420889980392,132.79357928015258,134.35816955566406,7338800,0.0,0.0
2024-09-18 00:00:00-04:00,134.27388569235004,136.40997472266557,134.15208650255008,134.8734893798828,6180300,0.0,0.0
2024-09-19 00:00:00-04:00,136.60669060418417,137.51546681199545,135.78223030125994,135.8384552001953,7247400,0.0,0.0
2024-09-20 00:00:00-04:00,136.06331518306413,136.7004021255027,134.3863033547117,136.4849090576172,23162900,0.0,0.0
2024-09-23 00:00:00-04:00,137.01892241442167,139.0519535990381,136.73785509905144,138.2274932861328,6960600,0.0,0.0
2024-09-24 00:00:00-04:00,139.482921185876,139.6890362578918,137.63726350189285,138.14317321777344,6014200,0.0,0.0
2024-09-25 00:00:00-04:00,137.67474613977456,138.1057179592334,134.44250752870786,134.88284301757812,7888400,0.0,0.0
2024-09-26 00:00:00-04:00,132.00658987397173,134.1801616881604,131.75364217672453,133.02780151367188,8046200,0.0,0.0
2024-09-27 00:00:00-04:00,133.9553032207352,136.56921042308005,133.82414039200768,136.306884765625,8049200,0.0,0.0
2024-09-30 00:00:00-04:00,136.1944497752677,138.17127017703393,135.17325244100078,137.9745330810547,7491700,0.0,0.0
2024-10-01 00:00:00-04:00,137.11261517613138,141.01940937072374,136.26941323683855,140.25115966796875,9489100,0.0,0.0
2024-10-02 00:00:00-04:00,142.106175946964,142.66831055292815,139.8389244820819,141.42225646972656,8105400,0.0,0.0
2024-10-03 00:00:00-04:00,141.75953396555684,142.565252607422,140.5509631505975,141.7033233642578,6553300,0.0,0.0
