Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-16 00:00:00-04:00,87.30581801197805,87.68023207425352,86.56658498937905,87.41142272949219,3037000,0.0,0.0
2024-04-17 00:00:00-04:00,88.06426058937176,88.42907227501,86.72020635751066,87.32502746582031,3421600,0.0,0.0
2024-04-18 00:00:00-04:00,87.7474368733802,88.73627441558112,87.23861812444228,87.8242416381836,3069400,0.0,0.0
2024-04-19 00:00:00-04:00,87.59383449619673,88.70748170326378,87.4594298090688,88.58267211914062,3588500,0.0,0.0
2024-04-22 00:00:00-04:00,88.84188114654444,89.00508578206586,88.03544574687014,88.91868591308594,2992900,0.0,0.0
2024-04-23 00:00:00-04:00,89.26431839684493,90.28195612704549,89.08190886991947,89.28351593017578,3729800,0.0,0.0
2024-04-24 00:00:00-04:00,88.88988782629986,89.50431869767783,87.7666454663478,88.34266662597656,3813400,0.0,0.0
2024-04-25 00:00:00-04:00,87.9298340259651,88.3234529297842,87.02740372669382,87.75703430175781,2954800,0.0,0.0
2024-04-26 00:00:00-04:00,87.84344886511201,88.5058772167893,87.44023479213728,88.16026306152344,4520900,0.0,0.0
2024-04-29 00:00:00-04:00,87.90104521768248,88.91869011113836,87.90104521768248,88.4770736694336,4905000,0.0,0.0
2024-04-30 00:00:00-04:00,91.90440818812627,93.93008090718934,90.0323303610355,92.65323638916016,16731900,0.0,0.0
2024-05-01 00:00:00-04:00,94.17969452652011,95.71575334282453,93.39246392538247,94.50611114501953,11062600,0.0,0.0
2024-05-02 00:00:00-04:00,94.04529083645548,94.4677097621143,92.78764381170654,92.94124603271484,6317100,0.0,0.0
2024-05-03 00:00:00-04:00,93.68047854359368,94.26610211417484,92.97004538696675,93.26766204833984,4818500,0.0,0.0
2024-05-06 00:00:00-04:00,93.21006037242094,93.84368879462355,92.68204401175878,92.73004150390625,4329500,0.0,0.0
2024-05-07 00:00:00-04:00,92.7300429968712,93.29646907958154,91.70280289469133,91.72200775146484,4409000,0.0,0.0
2024-05-08 00:00:00-04:00,91.5779984475175,92.58604099347647,91.21318674706426,92.4996337890625,3489900,0.0,0.0
2024-05-09 00:00:00-04:00,92.25001585441734,93.488465323092,92.06761367845404,93.44046783447266,2584200,0.0,0.0
2024-05-10 00:00:00-04:00,94.6117126853633,95.67735505548079,94.24689369319331,94.97652435302734,4157900,0.0,0.0
2024-05-13 00:00:00-04:00,95.04372325490519,97.6742242517046,95.04372325490519,95.64854431152344,5578700,0.0,0.0
2024-05-14 00:00:00-04:00,95.93656691684974,97.15581156369885,95.81176465363096,96.08057403564453,2973100,0.0,0.0
2024-05-15 00:00:00-04:00,96.18617113523163,97.60702270584355,96.14776875163324,97.19420623779297,4203300,0.0,0.0
