Date,Open,High,Low,Close,Volume
2024-04-11,517.6010230992423,520.3325056145172,513.8067382940332,519.63720703125,10369500
2024-04-12,514.2636784657437,516.6872509060779,505.9003620426098,508.45306396484375,11984500
2024-04-15,513.2406183198545,515.0384888193967,493.9315461414956,496.8616943359375,13512900
2024-04-16,494.7558921640913,501.37104976093684,493.76262580382166,496.3948059082031,9847900
2024-04-17,499.71232990333476,499.77192346212956,483.85980671013607,490.84246826171875,12193700
2024-04-18,496.45437262055293,508.76095670865146,495.6796261139181,498.4210205078125,14808700
2024-04-19,499.41434858815046,499.41434858815046,472.5266493809035,477.8306884765625,25215400
2024-04-22,486.42236340715147,488.6969516736443,470.2122504575461,478.4861755371094,17271100
2024-04-23,487.94208219261503,495.40152199378747,485.6774361839296,492.7594299316406,15079200
2024-04-24,504.6389278841395,506.56586713703933,481.317021755362,490.1769714355469,37772700
2024-04-25,418.5624257469969,442.7683213792549,411.70889412672494,438.40789794921875,82890700
2024-04-26,438.48735929530994,443.4338366860677,429.05132886461274,440.3050537109375,32691400
2024-04-29,436.60014947867506,436.7988148712777,425.6742197513567,429.7068786621094,21502600
2024-04-30,428.147455924362,436.65975597546355,426.8264249918601,427.2734069824219,18429500
2024-05-01,425.71397863682915,446.93013406880516,424.23399111108887,436.232666015625,20344900
2024-05-02,435.8849684809199,440.9704869589562,429.3691441419257,438.7058410644531,15221300
2024-05-03,442.92732176443593,451.11185831252936,440.86134078784477,448.9167175292969,16489100
2024-05-06,452.5122844958483,463.02105978106573,450.28737750238747,462.5442810058594,15094600
2024-05-07,463.1501848954651,468.3548909827228,458.2037074526032,465.0870361328125,13406800
2024-05-08,460.37896403219986,472.3776084845462,459.8823308455416,469.4176940917969,11683900
2024-05-09,466.8352023225762,472.8742486238149,464.48116583313845,472.2187194824219,9437700
2024-05-10,473.87742999258705,474.2846728255521,466.4378748768234,472.9934387207031,10750000
2024-05-13,469.5666850409423,470.1626509363038,459.73335385977305,464.8586120605469,14668800
2024-05-14,460.24982000044906,469.35808569307136,456.9819652481851,468.6727294921875,10478600
2024-05-15,471.7816605384409,479.25101255755794,468.02711495824536,478.2974853515625,13100500
2024-05-16,471.8014969689751,474.47338576625015,469.5666477728062,470.0434265136719,16608200
2024-05-17,467.65958568158874,469.6163216180006,465.2658404350713,468.7323303222656,10807300
2024-05-20,466.78555537893186,470.01367116907085,463.89514652631107,465.6830139160156,11745100
2024-05-21,463.9745355703075,467.53044579456866,459.15718809446827,461.5013122558594,11742200
2024-05-22,464.71954780965524,470.5301623382244,462.51449517924743,464.6301574707031,10078600
2024-05-23,469.6958441033179,471.16585905076363,458.43220618871834,462.6436462402344,11747900
2024-05-24,464.4712177669983,476.61887645447604,463.16009887613995,474.9998474121094,12024300
2024-05-28,473.37090944104057,477.6220886169313,471.64263552507384,476.6884460449219,10175800
2024-05-29,471.4638000883628,476.618854768797,470.5102728984341,471.1658020019531,9226200
2024-05-30,468.4939760428169,468.5535696018269,461.5808200768087,463.9050598144531,10719600
2024-05-31,462.66349074515693,465.9611425660609,451.3998530718608,463.6865539550781,16919800
2024-06-03,467.68938886665507,476.370557560807,465.08703582474993,474.2747497558594,11279400
2024-06-04,473.78804905282203,475.6653370045295,470.04344582485936,473.7781066894531,7088700
2024-06-05,481.1878690647924,493.30569968478346,480.65149677774474,491.7264099121094,15690500
2024-06-06,489.6605255664255,499.43426419883605,487.58460223802143,490.4352722167969,10667300
2024-06-07,492.57074247783544,495.5505416682554,486.8694030600324,489.6405944824219,9380700
2024-06-10,490.53449931508374,499.27526127994463,490.0875476500694,499.2156677246094,11220900
2024-06-11,496.7920821312561,504.18198591577544,494.91479425221536,504.0528564453125,9673700
2024-06-12,510.5290124391708,510.5488971678868,501.0731267567173,505.4136962890625,11983200
2024-06-13,502.30477188866905,505.93018839723624,497.98405673480437,500.70562744140625,9954600
2024-06-14,499.76105901416054,504.2351956755983,497.8719851588786,501.26239013671875,10243300
2024-06-17,498.786746491531,507.81454731546756,493.1592727813441,503.7182312011719,11266600
2024-06-18,501.66003859591564,503.0917646222148,492.1748612572284,496.6191711425781,13060400
2024-06-20,499.1147919555252,500.7752071040244,493.9148400723255,498.8165283203125,11801200
2024-06-21,500.5564312705626,500.5564312705626,489.56000109168275,491.9362487792969,22359200
2024-06-24,496.33088323813683,504.88143086237153,491.4490995948573,496.04254150390625,13525300
2024-06-25,494.1931746405667,507.7746669273976,492.6520954596526,507.6653137207031,12063200
2024-06-26,503.7380225205022,510.856874053988,501.77934388389946,510.17083740234375,8882300
2024-06-27,511.294373925033,519.8747782877508,510.9464098062174,516.5738525390625,10121200
2024-06-28,514.1777300033583,518.8805251412638,500.94420066099576,501.322021484375,15855100
2024-07-01,502.0478560452752,503.6684622749848,490.3355617817053,501.7793884277344,10328200
2024-07-02,497.8818980210312,507.5659077862411,496.5794296566328,506.5716552734375,7739500
2024-07-03,503.459628898402,508.34141226916296,503.11163445819557,507.02899169921875,6005600
2024-07-05,508.65956910819915,537.7613279468876,508.65956910819915,536.8068237304688,21354100
2024-07-08,539.2327877262878,539.6901656960439,523.623072932016,526.2777099609375,14917500
2024-07-09,530.6823045262751,534.3908471604564,525.1542627135257,526.953857421875,8753200
2024-07-10,527.7392732226358,535.782802810221,525.3232468812585,531.6168823242188,10983300
2024-07-11,527.8387522591509,532.3824937070442,505.44816535369097,509.7532958984375,16458300
2024-07-12,494.89917130590845,505.16978705228513,491.3894609308073,496.0027770996094,19750500
2024-07-15,495.76415462534726,503.76787552831104,490.5343764947893,493.308349609375,12539200
