tsne_dim_1,tsne_dim_2
21.284975,-11.924825
11.0588455,-11.275984
40.723488,-10.351679
-29.511812,-11.982388
15.10853,-11.01738
36.85978,-9.096833
32.21595,-11.8264675
40.29181,-14.457119
10.521856,-15.659012
17.72418,-13.827641
6.516394,-12.69304
-28.048687,-4.7608814
-32.219666,-4.82664
-31.584743,-8.724834
-25.296669,4.4854875
-23.710926,9.745418
36.16979,-13.220865
8.571994,-8.2017765
-27.096157,6.989128
-26.844398,-9.041303
