ticker,x,y,sector
NVDA,18.892263,-11.131316,Tech
AAPL,3.790348,-13.466151,Tech
MSFT,-54.388058,91.63475,Tech
GOOGL,64.7285,-88.05525,Tech
AMZN,8.73306,-1.1073344,Tech
META,-35.838852,55.878914,Tech
TSLA,-28.685856,43.74465,Automotive
JPM,23.05516,-22.870686,Finance
JNJ,72.44084,-110.67918,Healthcare
WMT,73.74314,-96.47568,Consumer
PG,-40.67044,100.67106,Consumer
XOM,71.35028,-124.63925,Energy
CVX,60.065926,-117.813614,Energy
KO,60.315952,-99.35928,Consumer
PEP,-24.027832,58.76403,Consumer
HD,-52.7162,104.02459,Consumer
BAC,10.22207,-24.607216,Finance
PFE,-13.92505,30.892874,Healthcare
NFLX,-16.268599,43.376923,Entertainment
DIS,-42.44961,86.93602,Entertainment
