tsne_1,tsne_2
-5.4664164,-27.045832
-27.17711,17.769709
50.11282,37.13374
69.83926,37.922527
5.255954,-6.085694
10.507819,-32.20238
-13.116577,9.514302
90.88225,27.19081
52.743114,55.548584
-37.00183,4.2655964
4.026629,33.458374
-74.77588,-18.297974
-62.571674,22.173483
-63.37869,0.15606157
-75.514206,88.86943
-75.5437,43.062946
-11.077571,-44.092747
96.48009,8.062466
-79.420685,75.478966
73.03564,53.931427
