Date,Open,High,Low,Close,Volume
2024-04-16,152.9260835145476,154.37410719737133,152.1723036646899,153.1343536376953,20779500
2024-04-17,154.3443515291876,155.792390319514,153.3128832450381,154.19558715820312,21763100
2024-04-18,154.0666189232005,155.65350920539763,153.35251980958253,154.7311248779297,19883000
2024-04-19,154.91957807299633,155.07827013643043,151.05155361246563,152.82687377929688,32615600
2024-04-22,153.04509433151492,156.34779961582007,152.79714362068458,154.9989471435547,26446200
2024-04-23,155.67337597138751,157.66689417461689,154.99894218995382,156.96270751953125,21151600
2024-04-24,156.19903597568538,158.26198771551822,155.88165180015244,157.82559204101562,22779100
2024-04-25,150.08949030720098,155.20719539051882,149.6332544492295,154.72120666503906,57109700
2024-04-26,172.94062695716943,173.2778513670398,168.2593171377913,170.54046630859375,64665300
2024-04-29,167.67419013378634,168.1601789863469,163.85575817924735,164.7880401611328,45610000
2024-04-30,164.25243622887484,166.72203025682094,161.2671157231008,161.4456329345703,33562900
2024-05-01,162.95319556004813,165.7500714576766,161.7531075684998,162.5167999267578,33493200
2024-05-02,163.43916484164697,165.36326455481128,162.54654844018515,165.25416564941406,24294500
2024-05-03,166.18646385430256,166.5831940285256,161.71343896761203,165.8690948486328,34662400
2024-05-06,166.08729275303767,166.76171134902742,164.66900697168114,166.7220458984375,21871300
2024-05-07,167.1187643454893,170.35203588113026,167.00966543700736,169.84622192382812,28039700
2024-05-08,167.61467198559197,168.75523914384442,167.35680870759575,167.99156188964844,19569100
2024-05-09,168.00148335133193,169.29083007689735,166.8013952497484,168.5668182373047,15346700
2024-05-10,166.65261946945532,168.45770778843482,164.8277059911993,167.2675323486328,29799900
2024-05-13,162.9135222794407,167.89237656675422,162.65565899989346,167.75352478027344,31327600
2024-05-14,168.37834489380802,169.84620861991712,167.41629508538105,168.94366455078125,25127100
2024-05-15,169.23130735927975,171.23473800953292,169.11228073886124,171.09588623046875,26948400
2024-05-16,171.8694782348091,173.68447893916473,171.27440571230892,172.75218200683594,27867900
2024-05-17,172.75219674772163,174.8250760090424,172.2662230829347,174.61679077148438,24479300
2024-05-20,174.74573004665857,177.30458297385175,174.63663113812171,175.46974182128906,22554400
2024-05-21,175.44989566739218,176.6896490712989,174.36883433127562,176.39212036132812,16989400
2024-05-22,175.19203685040134,175.69785080388766,173.77376618454468,174.93417358398438,17880000
2024-05-23,175.61853049301604,176.78885054238378,171.53229263275466,172.12738037109375,21024900
2024-05-24,173.5456447964723,174.32917746118142,172.22654529374813,173.55557250976562,16579400
2024-05-28,173.01998246270298,175.8168734132129,172.94063642860604,174.95399475097656,20572200
2024-05-29,173.99195085751208,175.39039638067896,173.28777937305267,174.45809936523438,23388700
2024-05-30,173.7638553909168,173.78369568525272,170.381804057889,170.69918823242188,22931500
2024-05-31,170.4512148865134,171.6413751155462,168.05105413674661,171.08596801757812,37638900
2024-06-03,171.12563247401937,173.09932530985793,169.75695502874458,171.75047302246094,27459100
2024-06-04,171.85958824102724,172.42492310208857,170.480982952228,172.3654022216797,26879600
2024-06-05,173.76385219874723,175.20196327061797,172.5042583714889,173.97213745117188,22068500
2024-06-06,174.4580976777925,175.6978511153371,174.30933331877074,175.2812957763672,23251000
2024-06-07,175.59868809544102,176.4119585188029,172.8712304058679,173.02992248535156,19661400
2024-06-10,173.7349014501534,175.81014466476933,171.54049500356726,173.7746124267578,23726700
2024-06-11,174.97607487552963,175.59169348463175,172.54337230776866,175.3732452392578,21540600
2024-06-12,176.99171737123814,179.1364733750805,174.8668244279154,176.5349578857422,27864700
