ticker,x,y,category
AAPL,-54.68323,20.716473,Technology
BAC,-40.549904,4.631714,Financials
CAT,-57.033653,33.566376,Industrials
CVX,50.447765,-37.393063,Energy
DAL,-13.969886,-9.340262,Airlines
GOOGL,-74.86567,14.853583,Technology
GS,-61.07663,9.310082,Financials
HAL,-8.580085,-5.9298224,Energy
JNJ,47.897095,-25.909687,Healthcare
JPM,-50.003902,11.490371,Financials
KO,38.175106,-30.515287,Consumer
MCD,35.374004,-22.407162,Consumer
META,-51.089794,3.913591,Technology
MMM,-1.9303193,-11.861195,Industrials
MSFT,-49.67915,33.04453,Technology
NKE,30.17395,-30.71587,Consumer
NVDA,-71.99284,7.895426,Technology
PFE,43.305744,-19.847134,Healthcare
UNH,-61.474983,18.114653,Healthcare
XOM,56.468643,-32.997116,Energy
