ticker,x,y,sector
AAPL,2.8004446,5.1846642,Tech
BAC,-50.524765,35.256294,Finance
CAT,-44.29038,-8.566678,Industrial
CVX,12.756195,-3.3642354,Energy
DAL,-14.556437,9.280372,Industrial
GOOGL,-41.867256,0.31384262,Tech
GS,-6.8723855,16.076012,Finance
HAL,-27.379147,5.5407104,Energy
JNJ,-16.576235,20.277838,Healthcare
JPM,-27.162493,38.835423,Finance
KO,-31.515644,16.446188,Consumer
MCD,60.569454,-26.54431,Consumer
META,40.392273,-14.021993,Tech
MMM,30.465834,-7.4196324,Industrial
MSFT,72.37838,-28.471708,Tech
NKE,79.38949,-38.718338,Consumer
NVDA,-38.964737,31.42553,Tech
PFE,-18.023014,41.903244,Healthcare
UNH,66.425415,-35.659317,Healthcare
XOM,20.094,2.2207248,Energy
