ticker,x,y,sector
AAPL,-9.62870598,22.30081177,Tech
BAC,-16.82096672,5.27204561,Finance
CAT,-79.59863281,-36.93218231,Industrial/Transport
CVX,35.50584793,60.56546021,Energy
DAL,39.39847946,36.64317322,Industrial/Transport
GOOGL,-56.10899734,-20.31965065,Tech
GS,-69.07344055,-11.48728848,Finance
HAL,29.38751411,40.93641281,Energy
JNJ,-86.71935272,-28.09736061,Healthcare
JPM,-21.91089058,15.76004124,Finance
KO,-67.93766022,-23.33431244,Consumer
MCD,-29.05970383,3.36992669,Consumer
META,49.49726105,29.86386108,Tech
MMM,2.26133823,3.51003098,Industrial/Transport
MSFT,73.59185028,35.64767075,Tech
NKE,87.56092072,29.15971947,Consumer
NVDA,-66.16662598,0.01924642,Tech
PFE,0.90973181,17.29862785,Healthcare
UNH,70.36184692,26.13671494,Healthcare
XOM,25.96594429,64.03172302,Energy
