ticker,x,y,sector
AAPL,16.053795,-5.014728,Technology
BAC,20.444124,19.29692,Financials
CAT,21.439741,9.043527,Industrials
CVX,-45.31683,2.7019863,Energy
DAL,-22.763237,26.849873,Industrials
GOOGL,21.801023,-33.175365,Technology
GS,10.321808,23.34728,Financials
HAL,-29.457449,21.633972,Energy
JNJ,-19.336222,-4.4956937,Healthcare
JPM,12.163638,12.818692,Financials
KO,0.45559174,-19.13954,Consumer Staples
MCD,25.415321,-64.69616,Consumer Discretionary
META,22.443233,-43.79405,Technology
MMM,12.820301,-26.18624,Industrials
MSFT,24.848837,-55.40722,Technology
NKE,35.49241,-68.41801,Consumer Discretionary
NVDA,13.522419,-38.570465,Technology
PFE,-28.568605,10.386736,Healthcare
UNH,15.770717,-16.323565,Healthcare
XOM,-38.868546,7.0519605,Energy
