Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,6.2072153,-18.206707,-5.422617,-30.371305
BAC,Financial Services,12.096539,-24.057352,-15.277096,-23.92875
CAT,Industrials,16.93408,-54.718376,-2.1394982,11.180916
CVX,Energy,-9.117662,23.379862,6.4976954,3.0596972
DAL,Industrials,14.118837,-14.56061,-6.9186444,-21.96275
GOOGL,Communication Services,17.707235,-38.95768,-10.814587,10.510119
GS,Financial Services,24.816269,-42.485786,-17.08054,-16.089956
HAL,Energy,23.797825,-55.159367,9.675426,-10.341347
JNJ,Healthcare,26.456257,-33.88237,-4.3457623,4.3053036
JPM,Financial Services,18.254871,-28.147968,-19.16663,-29.995834
KO,Consumer Defensive,20.80894,-20.81019,-9.721313,-3.9106176
MCD,Consumer Cyclical,-16.189533,25.44273,-12.208174,-41.346333
META,Communication Services,-8.127383,32.10596,-27.48696,-37.60765
MMM,Industrials,-1.881146,22.855045,-19.036566,-41.452667
MSFT,Technology,-12.783863,39.64159,-35.23266,-32.06648
NKE,Consumer Cyclical,0.22255936,49.42865,-39.53161,-9.300317
NVDA,Technology,10.985162,-32.537964,-24.295465,-23.636053
PFE,Healthcare,-5.6624413,14.603346,6.928832,-17.598558
UNH,Healthcare,-7.3369846,45.962914,-39.645348,-2.4546368
XOM,Energy,-13.474693,16.409895,6.859926,9.937623
