Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-54.385666,28.482307,11.948412,4.401857
BAC,Financial Services,-69.48446,25.562717,18.652813,-6.6641216
CAT,Industrials,-88.772224,-7.02321,-15.827513,-29.671768
CVX,Energy,124.29726,-16.298967,-23.206882,-20.927124
DAL,Industrials,-56.79392,33.63407,25.897953,-10.817528
GOOGL,Communication Services,-73.83101,7.2132845,-13.395065,-37.068787
GS,Financial Services,-78.183525,3.718277,14.256683,-13.7351055
HAL,Energy,-90.90776,-2.565363,-13.532598,4.6327305
JNJ,Healthcare,-71.63692,0.5965719,-9.923843,-29.159178
JPM,Financial Services,-64.22136,22.64546,12.473195,-7.345097
KO,Consumer Defensive,-65.339615,29.735508,0.65380573,-28.039604
MCD,Consumer Cyclical,118.02115,-17.318386,41.01689,-0.41185763
META,Communication Services,120.47199,-25.229866,34.12106,10.922406
MMM,Industrials,119.75059,-11.399987,39.036907,4.6597576
MSFT,Technology,117.71,-31.896652,28.043793,16.653826
NKE,Consumer Cyclical,111.14131,-43.98673,-9.974955,20.360603
NVDA,Technology,-68.48551,16.982206,20.856157,0.31012252
PFE,Healthcare,130.29073,-9.429844,-9.444564,9.513009
UNH,Healthcare,114.61949,-38.062157,-14.594663,23.901344
XOM,Energy,124.60459,-6.90608,-17.55167,-19.840235
