Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,211.1564,157.63438,101.46158,76.96078
BAC,Financial Services,44.048874,127.81801,131.20787,26.700325
CAT,Industrials,606.27515,-854.02716,-100.31018,-103.80518
CVX,Energy,-17.317667,-147.14423,-42.471073,-72.60976
DAL,Industrials,204.44772,112.461044,176.37064,18.498217
GOOGL,Communication Services,-74.75397,282.44382,-115.070145,-137.22281
GS,Financial Services,-76.75104,329.35065,123.67417,-10.072724
HAL,Energy,-2824.0684,578.2274,21.389244,99.94616
JNJ,Healthcare,-135.70702,295.67355,-122.9037,-89.397964
JPM,Financial Services,63.25615,174.66066,102.66281,13.644053
KO,Consumer Defensive,95.52587,117.50556,-151.91539,-44.26802
MCD,Consumer Cyclical,-11.910903,-201.69978,-131.12604,94.69988
META,Communication Services,63.200516,-191.00409,-100.37977,152.26898
MMM,Industrials,-63.526844,-176.01634,-120.35769,118.12101
MSFT,Technology,126.270256,-199.28506,-78.34876,185.61566
NKE,Consumer Cyclical,248.78793,-188.26236,46.33519,173.52515
NVDA,Technology,11.961617,209.96571,145.57533,60.691395
PFE,Healthcare,-151.9108,-114.40317,44.84959,117.50109
UNH,Healthcare,188.41718,-199.09991,55.29879,199.3824
XOM,Energy,-128.58234,-159.60648,-66.00573,-60.296955
