Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,19.126806,6.4153404,-1.2917353,-9.025226
BAC,Financial Services,26.767006,-20.414625,4.3061514,2.5458663
CAT,Industrials,77.998955,4.827761,-29.60659,6.2371106
CVX,Energy,-38.844257,-1.6792457,-38.070072,-2.5933852
DAL,Industrials,14.693539,-8.865303,10.465644,-9.191789
GOOGL,Communication Services,47.270477,-5.5424724,-19.02241,8.027488
GS,Financial Services,59.945644,-12.950192,-4.7982435,9.843283
HAL,Energy,79.75744,-9.627272,-25.290234,-18.445957
JNJ,Healthcare,53.58509,7.9851484,-29.668848,16.686026
JPM,Financial Services,35.610176,9.275052,6.420303,13.093035
KO,Consumer Defensive,31.355408,-5.626469,-17.506311,25.531076
MCD,Consumer Cyclical,-43.57645,14.53593,3.1101022,28.02245
META,Communication Services,-54.63695,2.7551708,22.682827,16.758738
MMM,Industrials,-29.9243,11.465153,13.472952,25.234222
MSFT,Technology,-61.17564,-12.248983,30.577646,6.732491
NKE,Consumer Cyclical,-48.110035,-39.688637,-6.8310957,-34.296127
NVDA,Technology,42.70119,-20.595152,15.126647,4.076162
PFE,Healthcare,-16.1481,6.331272,-14.322591,-21.55137
UNH,Healthcare,-57.712795,-27.246574,-14.85871,-39.917507
XOM,Energy,-24.834919,-6.1526847,-41.694313,7.178911
