Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,11.398221,-5.3919415,5.9372883,5.916404
BAC,Financial Services,-12.40463,5.3188405,2.6013916,2.581975
CAT,Industrials,-40.59469,-15.363907,-1.4761667,-2.7322593
CVX,Energy,43.109623,15.938626,-1.9105481,-5.86729
DAL,Industrials,3.9239306,8.95998,3.0633547,5.2864976
GOOGL,Communication Services,-7.610718,-20.38071,-2.0392034,0.37876654
GS,Financial Services,-20.601957,-10.468188,1.3728259,0.108477116
HAL,Energy,-28.453695,-27.164232,5.816698,11.840689
JNJ,Healthcare,-29.262966,2.2864802,-4.069218,-1.8096037
JPM,Financial Services,-3.7160892,-5.4894295,4.2788305,-0.027200397
KO,Consumer Defensive,-6.9081554,20.294176,2.0169973,-3.8867257
MCD,Consumer Cyclical,32.702564,27.290958,8.824052,4.073748
META,Communication Services,46.70647,33.057766,7.235858,-0.88744557
MMM,Industrials,23.918406,39.076088,8.85858,1.4874179
MSFT,Technology,43.254803,50.04257,-0.7708127,5.6480966
NKE,Consumer Cyclical,71.576004,40.59425,0.9830528,10.934995
NVDA,Technology,-22.738642,17.063314,5.383741,2.6445503
PFE,Healthcare,16.749695,24.2557,4.5538692,9.557702
UNH,Healthcare,59.41796,51.942482,1.3627118,13.472117
XOM,Energy,27.45544,12.0080185,-4.43926,-4.9205146
