Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-52.544662,45.369938,5.4912124,-40.912216
BAC,Financial Services,-53.566944,59.829407,6.552266,-22.532715
CAT,Industrials,-24.662798,113.06268,-41.412106,12.414918
CVX,Energy,34.58016,-92.92944,-46.78404,28.733967
DAL,Industrials,-63.653046,44.79543,17.569815,-33.32238
GOOGL,Communication Services,-45.697777,87.69983,-30.660126,3.8287034
GS,Financial Services,-40.62685,96.50879,-3.2766068,-10.910678
HAL,Energy,-32.940155,116.37201,-24.143347,46.240078
JNJ,Healthcare,-33.454315,86.277115,-46.82231,2.9017954
JPM,Financial Services,-60.23903,68.47165,9.474757,-10.964613
KO,Consumer Defensive,-64.926735,58.56462,-48.376385,-14.11551
MCD,Consumer Cyclical,38.380074,-83.38369,41.51346,-22.168444
META,Communication Services,37.691032,-105.75656,30.870323,-0.8149968
MMM,Industrials,46.216007,-93.15799,36.846478,-13.360025
MSFT,Technology,27.9202,-113.76648,26.834475,13.350945
NKE,Consumer Cyclical,4.8180666,-118.62834,3.0244868,57.07992
NVDA,Technology,-49.826927,73.03125,-4.6347904,-27.99527
PFE,Healthcare,48.029068,-75.08669,-12.982844,48.92838
UNH,Healthcare,16.482172,-116.82579,2.6124356,67.61199
XOM,Energy,53.343082,-84.67349,-54.72178,21.463617
