Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,-48.17849,59.82515,-90.668045,-1.5637105
BAC,Financial Services,-9.973304,78.52357,89.75718,142.57162
CAT,Industrials,-21.112846,-38.65852,34.895973,-71.889694
CVX,Energy,-13.321086,43.54824,-4.839739,177.9746
DAL,Industrials,50.356197,29.472277,6.559774,103.873886
GOOGL,Communication Services,-78.187195,-7.3274136,-121.62313,-76.57537
GS,Financial Services,14.807911,-39.426334,136.48497,-47.976807
HAL,Energy,49.32687,-45.977345,-41.35966,-88.89551
JNJ,Healthcare,24.794538,57.586155,11.900427,-154.96635
JPM,Financial Services,30.863077,-7.25354,95.881256,-123.06748
KO,Consumer Defensive,-41.304585,-12.302627,10.26547,32.07391
MCD,Consumer Cyclical,-19.055449,12.652948,-57.272552,63.133995
META,Communication Services,6.0491524,-73.14603,150.54192,39.422935
MMM,Industrials,66.13691,-6.9663324,-172.63107,-10.466651
MSFT,Technology,-63.10981,-42.733322,-23.560099,-23.128838
NKE,Consumer Cyclical,-35.49275,-71.001816,-83.93248,-154.83745
NVDA,Technology,-82.18576,32.996445,77.422585,65.87069
PFE,Healthcare,-48.873123,22.231983,-141.30856,71.1755
UNH,Healthcare,-2.1837997,-11.776237,69.26951,-9.8139515
XOM,Energy,13.834693,21.388721,-86.81246,138.82936
