Date,Close,High,Low,Open,Volume
2024-04-08,86.18814849853516,86.43713852883924,85.0389761077253,85.33584405899488,8452500
2024-04-09,87.1457748413086,87.29900168869287,86.06363763012553,86.18812896393158,7191900
2024-04-10,85.23049926757812,86.2839084714311,85.01023745921106,86.0923821820977,7932900
2024-04-11,88.10342407226562,88.49606240393959,86.98298010658777,87.36603993337106,15330200
2024-04-12,88.10342407226562,88.9365786475499,87.2606982983492,88.1130025771563,10905900
2024-04-15,89.1568374633789,89.94210685875687,88.62055806348923,89.62608193828238,11597300
2024-04-16,89.43456268310547,90.20068243411427,87.76826062685967,89.0993880318864,10388200
2024-04-17,90.8231430053711,91.04340479981562,89.69312774096778,90.60288851718572,10181200
2024-04-18,91.6850357055664,91.81910557526642,90.5262847995821,91.12960651949206,10062900
2024-04-19,90.52627563476562,92.14469972034463,90.4879689178352,91.37857999425465,11241900
2024-04-22,90.20067596435547,91.03382327959011,89.87507253634026,90.6220352215543,8642000
2024-04-23,90.03787231445312,90.70822888785378,89.93253797783862,90.37305425428298,6582700
2024-04-24,90.6316146850586,91.15832289494868,90.11448498069169,90.11448498069169,6493200
2024-04-25,89.96126556396484,90.77526318448936,88.52479659612428,90.0187219846756,5317900
2024-04-26,90.1336441040039,91.37857951960962,89.9325393208582,90.58373158651527,6115700
2024-04-29,90.076171875,90.87101973308201,89.73141876321162,90.44008199647577,5030700
2024-04-30,88.35242462158203,89.54948215702304,88.34284611554588,88.97489600126323,6493300
2024-05-01,86.51372528076172,87.97892961422498,86.27431381079336,87.92146589317699,9783100
2024-05-02,88.49606323242188,88.5343626398261,87.05959434823048,87.46180388230201,7333300
2024-05-03,88.24707794189453,89.6835469025127,87.97893823824724,89.14726018895915,5736700
2024-05-06,89.40582275390625,89.41540125875989,88.56309698324803,88.87911458083332,6696300
2024-05-07,89.80803680419922,90.32516649845431,89.26217890019531,90.095333514205,7113500
2024-05-08,89.62609100341797,89.67397622879092,88.8025221158279,89.17600349370628,5372900
2024-05-09,89.43456268310547,89.99957764338284,89.07065981981897,89.67397419201329,6429800
2024-05-10,87.08831787109375,89.19513586537958,87.03085415056212,89.12810094664117,10548400
2024-05-13,88.79293823242188,88.84081614863588,87.2894343056303,87.4043471495512,8792100
2024-05-14,88.85997009277344,90.34431695683398,88.67801502116735,89.05149636353644,7811000
2024-05-15,87.78741455078125,88.6971827120987,87.00214505608376,88.3811577516539,15614400
2024-05-16,87.88317108154297,88.90785201950986,87.65333808500384,87.80656495353608,12711700
2024-05-17,88.27580261230469,88.38114424969328,87.47137622736082,88.1130045567982,12019600
2024-05-20,87.88317108154297,88.77378216267375,86.98298880082334,88.34284438088048,9701500
2024-05-21,88.88868713378906,88.91741534016788,87.57670969451146,87.69162982628475,7809700
2024-05-22,88.5822525024414,88.83124250117375,87.76825488664375,88.05554429478818,7611900
2024-05-23,87.52883911132812,88.65886159643505,87.28942762979072,88.53436295003009,7729000
2024-05-24,87.864013671875,88.29495141588212,87.61502368547205,87.8831633756328,6936800
2024-05-28,88.10342407226562,88.60139673270295,87.4809527670251,87.85443408891771,10835000
2024-05-29,87.78741455078125,88.79294585901111,87.50969631035339,87.79699305735043,7237300
2024-05-30,89.49199676513672,89.90378474990372,88.06510657402868,88.32367503060155,9300100
2024-05-31,91.02425384521484,91.04340355017106,89.03234844185218,89.53989964517096,12565600
2024-06-03,90.75505065917969,91.57222919024082,90.41856624460277,90.87041255285742,9668100
2024-06-04,91.0819320678711,91.43764840509932,89.80329111096013,90.64931023554341,7838400
2024-06-05,90.67814636230469,91.63953468562633,90.08208296131338,91.63953468562633,7463300
2024-06-06,92.02409362792969,93.06239480168496,90.36088856248035,91.19729906380726,9760100
2024-06-07,92.8220443725586,94.15837353823052,91.62030898365862,91.70683041095027,9397400
2024-06-10,92.29327392578125,93.24504625939394,91.90871715079507,92.03370232018156,7035100
2024-06-11,92.16830444335938,92.29328228926076,90.8704242933178,91.8318126504976,7301500
2024-06-12,90.06285095214844,92.7739655056571,89.88980077491128,92.62975580215777,9861300
2024-06-13,90.54354858398438,90.8800330153203,90.10131085496995,90.40895481145,8348200
2024-06-14,89.7840576171875,91.12038683984176,89.69753618620649,90.17823036226373,7426800
2024-06-17,91.3318862915039,91.44725552524599,88.45733739776034,88.45733739776034,6365400
2024-06-18,91.12037658691406,91.58184617132099,90.57238558126157,91.01462329329601,6712000
2024-06-20,91.8798828125,92.37980151900202,89.90903379332839,90.25513418044936,9393800
2024-06-21,93.42772674560547,93.45656722457284,91.73568107634172,92.25483170218895,15124400
2024-06-24,93.41809844970703,94.2545089031724,92.94702024099716,93.54308362178047,9466900
2024-06-25,91.091552734375,93.86996467954093,90.85120562953496,93.55270474079731,9006500
2024-06-26,90.42818450927734,90.83197318472976,89.55332493788742,90.45702498577874,10160400
2024-06-27,90.55317687988281,91.08193610563366,89.78406321630332,90.14938817235725,25772700
2024-06-28,72.45985412597656,75.99776411110892,71.6715158467531,74.15189261052652,129967000
2024-07-01,73.86347198486328,74.08458720772995,71.42154458678598,72.58482366198615,44369000
2024-07-02,73.10396575927734,73.9692166790431,72.47906190973482,73.85384744480416,26183400
2024-07-03,72.33485412597656,72.98859846777691,72.12334752498076,72.58481713940894,15952000
2024-07-05,72.51751708984375,73.15202953035799,71.89261325091172,72.45022020471632,19603700
2024-07-08,70.22942352294922,72.57520616343942,70.18135117041487,72.49830066812012,29905000
2024-07-09,69.66220092773438,71.27733369473007,69.58528809720809,70.46977097863784,23445500
2024-07-10,69.73909759521484,69.83523494368586,68.90268726041704,69.46991008557221,21378200
2024-07-11,70.55628204345703,70.90238239515378,69.49875645096591,69.8929218135699,15876700
2024-07-12,70.58512878417969,71.19080812083202,70.34478170387277,70.72933849932599,14527500
2024-07-15,68.55659484863281,70.19095930046298,68.48929796345695,70.18134336406347,20775800
2024-07-16,69.99868774414062,70.14289747251883,68.74888721275633,68.74888721275633,20980700
2024-07-17,70.24864196777344,70.50821357842744,69.70065093656117,69.72949141165489,11161600
2024-07-18,69.58528900146484,71.07544393932824,69.55644852334552,70.15251196545314,14440100
2024-07-19,69.89292907714844,70.00829831797374,69.07575045869918,69.5083796106859,11913300
2024-07-22,71.96953582763672,72.43099814968562,70.24864972062093,70.29672207428956,19385500
2024-07-23,70.56590270996094,72.14257893568995,70.4120770612017,71.74840621185238,11041800
2024-07-24,68.3450927734375,70.5562888635939,68.33548417121335,70.42169508434725,18563300
2024-07-25,68.65274047851562,69.63335329512792,68.1720463393348,68.76810237764032,13855400
2024-07-26,69.7583236694336,69.96983024162009,69.09497081598738,69.219948638275,8892000
2024-07-29,70.71012115478516,71.01776515548752,69.41224092122332,69.70066038086185,10471800
2024-07-30,71.45037841796875,71.61381266919831,70.62358389022897,70.84470642733594,8515700
2024-07-31,71.96953582763672,72.5175269193269,71.0658283893082,71.62343541869436,14632900
2024-08-01,70.99851989746094,71.90222718816901,70.43130435784471,71.8156984326622,9563500
2024-08-02,71.15235900878906,71.26772092489482,69.14305339714568,70.01792037994262,11526600
2024-08-05,68.662353515625,69.81602392506906,68.01822508786837,68.31625312627288,13191500
2024-08-06,69.70063781738281,70.41206296342746,68.74886564438167,68.89307532751741,13469700
2024-08-07,69.8160400390625,71.34464433250366,69.7295112543476,70.06599578421081,9571200
2024-08-08,71.32539367675781,71.34461821364944,70.22941170368595,70.40246187495045,8828000
2024-08-09,71.4696044921875,71.70034297103304,70.53706397906069,71.25810522212865,7186600
2024-08-12,71.7580337524414,72.10413418330621,71.19081808424241,71.82533065095335,7067300
2024-08-13,75.46898651123047,75.99775304491513,72.1714241320607,72.3444743308292,22114800
2024-08-14,75.48820495605469,76.03619598544017,74.43067930888398,74.98828627487217,13613000
2024-08-15,79.31453704833984,79.85291216480123,77.55519464800389,78.92998025023421,23583600
2024-08-16,80.01634979248047,80.69893459128035,79.25685217090613,79.67985802654476,13794200
2024-08-19,80.06442260742188,80.7470074727357,79.71832220602174,80.01635758961204,9627300
2024-08-20,80.3335952758789,80.66047107647867,79.57409772119018,80.2662983955804,7863100
2024-08-21,80.75662994384766,80.98736111851134,80.00674812508181,80.43936999442771,6915900
2024-08-22,80.18940734863281,81.41036734948354,79.99712527401893,81.18924479738035,8485500
2024-08-23,80.8046875,80.98734628469717,80.00673347087877,80.12209536967478,9219700
2024-08-26,81.02580261230469,81.24692514278634,80.16055169817497,80.24708045699317,7853300
2024-08-27,81.99681091308594,82.09294827838184,80.38167823775791,80.82391598596774,14954000
2024-08-28,79.59333038330078,82.1313946580723,78.7184635959192,81.76606978065257,11088600
2024-08-29,80.04519653320312,80.65086855664012,79.66063972403838,80.2278553330778,7477200
2024-08-30,80.1028823852539,80.64125755011665,78.88192232642263,80.37206996768528,13755300
2024-09-03,78.52882385253906,80.0932226573151,78.2294664525774,79.87111378901808,10133700
2024-09-04,78.23912048339844,78.30671755552966,76.93545845370859,77.35069971609421,12837400
2024-09-05,78.0556411743164,78.45156474833009,77.45691903132489,78.3453397331618,7596300
2024-09-06,77.86251068115234,79.06960657184847,77.592122380441,78.10392985929157,8512200
2024-09-09,76.76162719726562,78.77989502578536,76.30775803818345,77.97838171793929,8003300
2024-09-10,75.40968322753906,76.82922902848478,74.88822433956477,76.82922902848478,9748400
2024-09-11,75.70905303955078,75.89252659847777,74.10602621742754,75.32278089478977,8265500
2024-09-12,75.70905303955078,76.35605464569666,74.86891167726023,75.54488977247408,7176900
2024-09-13,76.29811096191406,76.76163160855161,75.42900054005885,75.61248145343046,5814200
2024-09-16,77.06100463867188,77.24447820420873,75.98910289791942,76.6071354047911,9547700
2024-09-17,77.8721694946289,78.20050340794333,77.11894283779925,77.26379581815772,7580600
2024-09-18,78.12323760986328,78.95372006672245,77.47623606272556,77.89147729115514,7637000
2024-09-19,78.20050048828125,80.26704798615556,77.7080033204616,79.764891988665,15067100
2024-09-20,83.55033874511719,84.97954339853209,81.89903259272634,84.85400808900343,52039300
2024-09-23,83.24132537841797,83.56000044531838,82.13080311032637,82.46878846876852,17712400
2024-09-24,84.45806884765625,85.24992331147382,83.68553204034951,84.43875855867267,21123300
2024-09-25,84.97955322265625,85.07611942326714,84.2456368364616,84.8347002379755,12392800
2024-09-26,86.32183837890625,87.50962394449189,85.99351184205415,86.83364584372183,13592800
2024-09-27,86.3701171875,87.16197170228581,86.14800832849268,86.37976864884938,9181000
2024-09-30,85.3658218383789,86.66948391116934,84.71882021694249,86.62119712910992,12027100
2024-10-01,86.07075500488281,86.56325214694658,84.69949596445927,84.97954307004346,20623400
2024-10-02,80.24773406982422,82.30463020149617,78.96338226223551,80.04494284244633,33208800
2024-10-03,79.28204345703125,80.90438035932434,79.16616698599222,79.57174936968364,18143800
2024-10-04,79.42691040039062,80.6726342561233,79.28205741855591,79.7938649025137,10322600
2024-10-07,78.0556411743164,79.63935020542662,77.34103518727008,79.32067515992173,12767400
2024-10-08,77.99769592285156,78.6253871878263,77.18653111336626,77.97838563251858,10569600
2024-10-09,79.62004089355469,80.08356895083391,78.28740970111079,78.35500677534645,11750600
2024-10-10,79.28204345703125,80.58570532891218,79.21444639308268,80.53742592182172,8370200
2024-10-11,79.33033752441406,79.4462140061055,78.39363000392507,79.22411250451151,10171100
2024-10-14,78.79920196533203,79.22410198854227,78.02666517566361,79.18547404392979,8177700
2024-10-15,79.3013687133789,79.8807732266809,78.26809499827311,78.26809499827311,11804400
2024-10-16,81.05889892578125,81.20374452669839,79.23377067894516,79.32067803949543,11220600
2024-10-17,80.53743743896484,81.85075832708443,80.51811977934423,81.22306700492709,9204500
2024-10-18,80.07390594482422,81.06855171421583,79.79385883258796,80.9043884521378,7214800
2024-10-21,78.68334197998047,80.23807471300545,78.64471402727699,80.00631436431327,7550200
2024-10-22,78.62539672851562,79.59107344795461,78.44192316174171,78.55779965285603,7308800
2024-10-23,77.30241394042969,78.25843170117571,77.05133596423913,78.21980375349041,7253100
2024-10-24,76.32707977294922,78.02667266131714,76.31742094398768,77.73696673269349,7424500
2024-10-25,76.14360046386719,76.84854764234908,75.82492540917559,76.5009034676906,9385400
2024-10-28,76.2015380859375,76.90647782301865,76.11462336761696,76.59746162987474,6617200
2024-10-29,75.70905303955078,76.74232679045767,75.51591328340609,76.1725737192413,7241100
2024-10-30,73.82597351074219,75.42900021157503,73.79700439139448,75.32277519561488,15691300
2024-10-31,74.48263549804688,74.68542670536806,72.61887931549163,73.58455594132278,13990100
2024-11-01,75.3807144165039,75.4483114850386,74.3184716105895,74.40538633729291,9623700
2024-11-04,74.54058074951172,75.85390154377194,74.46332485160748,75.31311762597024,6593800
2024-11-05,75.30347442626953,75.32278471910024,74.3571079919323,74.59852717372428,5629200
2024-11-06,72.73475646972656,74.30880657267454,72.54162410934389,74.23155804903784,16193700
2024-11-07,73.31417083740234,73.74872975834771,72.62854128749649,73.1017207917217,11831100
2024-11-08,73.2755355834961,73.93219594673104,72.66716199584083,72.90858113868416,8140800
2024-11-11,73.9708251953125,74.7433694130162,73.48798690112962,73.53627367755898,9877200
2024-11-12,74.02877807617188,74.77234588058009,73.52662207505367,73.8356383190001,9013900
2024-11-13,73.89356994628906,74.63714505164931,73.84529053696515,74.270190597171,6835300
2024-11-14,73.08240509033203,74.33778761232094,73.0727462614629,74.0480816864688,6991600
2024-11-15,74.02877807617188,74.98479592970483,73.01481461172317,73.39142792879763,13584900
2024-11-18,72.31951904296875,73.58455301488861,71.70148661641801,73.54593243481591,12595100
2024-11-19,71.37316131591797,72.16501583625127,71.07379655885191,71.94290697568793,12028400
2024-11-20,70.84203338623047,71.30555401153936,70.2143421455775,71.13173930269416,12290300
2024-11-21,72.5223159790039,72.96652636025543,70.68752884424967,70.84204064687364,12818600
2024-11-22,74.74337005615234,74.8399362423143,73.22725809407366,73.51695665255953,12248600
2024-11-25,76.53953552246094,77.1189400554621,75.71871182008192,75.80561918464434,18328900
2024-11-26,74.94617462158203,76.19189853753079,74.90754666672365,76.19189853753079,9495600
2024-11-27,75.65110778808594,76.33674471624408,74.92685027604388,74.94616793551424,8713500
2024-11-29,76.06634521484375,76.46227617117835,75.35174656862564,75.5159098281911,7123500
2024-12-02,76.76517486572266,76.77488299282236,74.93073131583766,75.62956836439028,11221000
2024-12-03,76.54194641113281,77.06607424296585,75.32868959812998,76.67783058177858,9414500
2024-12-04,76.06635284423828,76.20223701672468,74.83367975865622,75.53251687723314,15042600
2024-12-05,76.27017974853516,76.58077320329471,75.80428586382978,75.9595862937756,8316500
2024-12-06,76.57105255126953,78.79373960668745,76.52251932356648,76.89135408179558,13931100
2024-12-09,75.35781860351562,77.11461237947616,75.24134326503103,77.10491165511893,12043400
2024-12-10,74.48426055908203,75.78487571972687,74.36779264374174,75.22192277847564,12193100
2024-12-11,76.53224182128906,76.65842527495926,74.0669029746785,74.53279687066798,12033200
2024-12-12,75.66840362548828,77.03696093014273,75.5713445568558,76.39635774793028,6983200
2024-12-13,74.9792709350586,75.54222387270882,74.51337706128174,75.07632999893197,8037300
2024-12-16,74.93073272705078,76.69723423076998,74.40661233589654,74.50367139332764,13034000
2024-12-17,75.70722198486328,76.45458489235338,74.97926792731653,75.0860351148339,12452400
2024-12-18,74.63955688476562,76.67782674766458,74.58131552516403,75.68781249601591,14376900
2024-12-19,74.83367156982422,75.64898392065736,74.18336775763846,74.67837856331818,27067600
2024-12-20,74.67837524414062,75.70721450755006,72.65951441337454,73.72717877796767,49883400
2024-12-23,74.50366973876953,76.10517006877701,73.51364812161673,74.08630913646614,14203800
2024-12-24,74.53279113769531,74.84338457608706,74.11543051062529,74.49396603225487,4919100
2024-12-26,74.67837524414062,75.1830867492667,74.2901316374347,74.34836558664479,6363500
2024-12-27,74.17366027832031,74.66867108832251,73.57188969079927,74.27071933387552,6334400
2024-12-30,72.45570373535156,73.54277718126228,72.35864466412846,73.37777601966977,9042900
2024-12-31,73.44571685791016,74.14455400701443,72.58187855002636,72.69835387658784,9425600
2025-01-02,71.50450134277344,74.43573393300842,71.08714070529489,74.00866516764474,10883400
2025-01-03,71.15508270263672,72.00922023231267,70.86390551262781,71.7471526156596,10083500
2025-01-06,69.88359069824219,72.1353949912025,69.85447372027232,71.58215019438002,14947300
2025-01-07,69.97093963623047,71.28126284855092,69.86417985509689,70.27183234531007,10463500
2025-01-08,69.19446563720703,69.70888535737612,68.92269728731635,69.45652585884956,11855000
2025-01-10,69.10710144042969,70.26212423477618,69.00033425413892,69.73799643074831,15677400
2025-01-13,69.96124267578125,70.46595425197445,68.69945262760037,69.07798816102824,14584300
2025-01-14,69.0779800415039,70.08741048037233,68.45679321837426,69.95152632563341,16732900
2025-01-15,68.9809341430664,70.12624895507781,68.75769161477811,69.87388944595463,13468100
2025-01-16,69.0197525024414,69.13622781952218,68.25297332653936,68.81592625139885,13694600
2025-01-17,68.7576904296875,69.41770246938832,68.7576904296875,69.33035152838919,9711300
2025-01-21,71.01919555664062,71.11625461590934,69.0488677734726,69.20416819240779,14199900
2025-01-22,71.86363220214844,72.5042279823134,70.86390972066845,71.22302901685117,13029300
2025-01-23,72.10627746582031,72.31010371519365,70.24271683857981,71.18419787469522,10677400
2025-01-24,71.4074478149414,72.06745986479058,71.09685434472607,71.89275057497368,8106700
2025-01-27,73.35836029052734,73.62042049877624,71.26184900400906,71.28126525951299,11665400
2025-01-28,72.20333099365234,73.37776257202324,71.98009591126385,73.11570238723434,8694400
2025-01-29,74.3289566040039,74.84337623477698,72.1353865244494,72.26156254921969,11764800
2025-01-30,76.02752685546875,76.45458821898866,74.59102752781467,74.59102752781467,10902100
2025-01-31,74.63955688476562,76.54194258381342,74.50367272091447,75.81398853241154,13098000
2025-02-03,74.33866882324219,74.4357352936041,71.06773315368912,72.69835062700037,18539200
2025-02-04,74.46485137939453,75.86252559836137,73.80483937656373,75.2704556808897,11943700
2025-02-05,72.37804412841797,74.53278929369581,72.21304298822717,74.05719472279758,9807400
2025-02-06,69.63123321533203,73.18365273239496,69.52446602295264,73.02835230524967,16059400
2025-02-07,66.66118621826172,68.72857327306028,66.60295225774502,68.48592189739757,27428700
2025-02-10,68.85474395751953,68.86444467905163,67.0882425665252,67.32118577052145,16201300
2025-02-11,69.24298095703125,69.87387590501108,68.43738415789775,68.4956181082823,9636600
2025-02-12,70.13595581054688,70.32036582086441,68.26268689113896,68.52474711902825,10810900
2025-02-13,71.05802917480469,71.43656473489695,69.52447067717672,70.32036690674666,9739600
2025-02-14,70.89302062988281,71.33949823361344,70.21359239410273,71.01919666839419,9254400
2025-02-18,75.30927276611328,75.39663110664976,72.310105501778,72.310105501778,28252400
2025-02-19,74.52308654785156,75.39663294890148,73.85336640619128,74.56191165513512,14184100
2025-02-20,74.95986938476562,74.99868708998996,74.09602363830554,74.64927590704264,10689600
2025-02-21,74.25131225585938,75.69751221198113,73.63012539933197,75.1248585869546,12823400
2025-02-24,77.92019653320312,78.70638449928113,76.43517152833083,76.5613475583399,24553500
2025-02-25,79.31787872314453,79.55082195819018,77.69696939551814,77.94932148134596,15522500
2025-02-26,78.7840347290039,80.01670767423782,78.4637331852693,79.68669800353611,16058100
2025-02-27,77.66783905029297,79.09463014005736,77.124302408528,79.09463014005736,11651900
2025-02-28,77.0951919555664,77.66784562229181,75.88193513101396,76.92048267662558,14113800
2025-03-03,76.49037170410156,78.97793819550041,75.98309816462232,78.03168452301311,8628800
2025-03-04,75.42706298828125,76.7245039127696,74.90028229467066,75.7977572055867,10034100
2025-03-05,75.90505981445312,76.39281885696751,74.58811188818675,75.43681530150222,9853600
2025-03-06,75.80750274658203,76.41232658480283,74.86124909751548,74.86124909751548,9623700
2025-03-07,76.66596221923828,77.06592820388958,75.08562769529115,75.58314399927302,9294300
2025-03-10,74.52958679199219,78.22680140631186,74.1979067568705,75.61241251419246,15822600
2025-03-11,72.35416412353516,74.21740696911309,71.81763371987758,74.05157070485227,12837000
2025-03-12,71.77861785888672,72.67609265307367,71.43718803964298,72.53952072537616,12304900
2025-03-13,70.86162567138672,72.1298020260034,69.91537203730357,71.38840627518388,10195900
2025-03-14,69.90562438964844,71.73959557489549,69.57394439504365,71.48595880756382,12183000
2025-03-17,71.89568328857422,72.13956282136125,70.26656979578384,70.37387738561915,15996900
2025-03-18,71.51522827148438,72.34442459598962,70.93967617506172,72.08103054575948,8972300
2025-03-19,71.20305633544922,71.63228663466992,70.52019671633596,70.86162652589259,10830500
2025-03-20,70.10072326660156,71.84690135956792,69.76904328027034,71.1347699530352,25202300
2025-03-21,66.27670288085938,67.04736308210339,63.5745135439818,64.95974747616658,77287000
2025-03-24,65.74015808105469,67.20343509566658,65.05729845128052,66.88151236622514,26552500
2025-03-25,64.91096496582031,66.38399914698302,64.61830660521986,65.90598999516153,17394100
2025-03-26,64.13056182861328,64.95975077704936,63.35990158820873,64.75489285632607,18688300
2025-03-27,64.18909454345703,65.45726361947517,63.691578223980386,63.89643613373841,16435800
2025-03-28,61.74053955078125,64.24762069327593,61.59421035174134,64.24762069327593,19600300
2025-03-31,61.92588806152344,62.42340437259922,61.11620997987761,61.301557077770944,17400000
2025-04-01,63.1745491027832,63.56475779957519,61.750289964406576,62.267317045851854,13489500
2025-04-02,63.369651794433594,63.79888211915014,62.58924181803599,62.72581374997087,11161400
2025-04-03,54.21929931640625,57.24340402334171,54.043705755739666,54.98995580899144,71499500
2025-04-04,55.84840774536133,57.770179473443214,51.214697059064974,51.9170712381215,67775700
2025-04-07,54.248558044433594,55.780121048203114,52.092664099166434,54.043700151999545,45374400
2025-04-08,51.96584701538086,57.331196295060465,51.08787928109269,57.331196295060465,30404300
2025-04-09,57.86772537231445,58.092094057654336,51.19518234445128,51.975595972004285,44732500
2025-04-10,53.068180084228516,55.84840486404742,51.00007926843802,55.82889405771289,53919800
2025-04-11,53.05842590332031,53.68275685707823,51.565884484411164,53.06818316770742,22617100
2025-04-14,54.0534553527832,55.30211727407667,53.33157035371912,54.27782405918399,28346600
2025-04-15,53.4876594543457,54.033947211213196,52.84381393294116,53.34133025015262,15977100
2025-04-16,52.238990783691406,53.79982189499462,52.03413288649916,53.380348836188,19094900
2025-04-17,54.39488220214844,54.648518966823545,52.33654234200889,52.50237861626842,18935100
2025-04-21,54.746070861816406,54.9801968266484,52.19021466237243,53.87786040957094,17280900
2025-04-22,55.66305923461914,56.667841598512034,54.86313476061211,55.26309699761563,16852200
2025-04-23,55.98497772216797,57.75066665122324,55.311871638260314,57.55556230592504,21660300
2025-04-24,57.04829406738281,57.262909225250425,55.731346212645654,56.394698772140124,14508500
2025-04-25,56.209346771240234,56.82392416034784,55.224075217165016,56.78490254678097,17156000
2025-04-28,55.906944274902344,56.65809366684609,55.40942795441581,56.316660095250064,13321200
2025-04-29,56.13131332397461,56.326417691561765,55.35089957493227,55.60453264788117,12968000
2025-04-30,55.019222259521484,55.20456935861879,53.40961590801764,54.49244159306864,17205900
2025-05-01,55.37040328979492,55.80938715980008,54.88264426119054,55.29236378029738,10527000
2025-05-02,57.155601501464844,57.2629090801267,55.90693961443083,56.45322732935523,14723900
2025-05-05,55.945960998535156,56.91172554545106,55.88743229474438,56.69711037473504,15971000
2025-05-06,55.643550872802734,56.306903449367475,55.39967135851588,55.75085845449792,11440300
2025-05-07,57.18486785888672,57.370218672647525,56.15082109287841,56.453229311025254,11883500
2025-05-08,57.46776580810547,58.91153201604371,57.3604582316192,58.228668664926815,19009000
2025-05-09,56.87269973754883,57.926260983816064,56.79466023114343,57.69213502198804,13954400
2025-05-12,61.047916412353516,61.91612681114806,60.29676712811518,60.85281207388934,29776600
2025-05-13,60.86256790161133,61.24301932918424,60.45285212462692,61.07718305411128,17003100
2025-05-14,60.218727111816406,61.33081706260129,60.01386922010465,60.53089258146459,13736300
2025-05-15,60.87232971191406,61.14547358363696,58.94080063776857,59.15541580629721,14371100
2025-05-16,61.564945220947266,62.18927618250779,60.96987861030175,60.96987861030175,12950600
2025-05-19,60.56016159057617,60.901591415383706,60.24799239478729,60.628447555537676,15105300
