ticker,x,y,sector
BAC,-7.2829733,12.110009,Financials
HAL,64.77917,67.15358,Energy
CAT,53.94293,63.60996,Industrials
MCD,-17.455418,-25.14097,Consumer
MMM,-44.98393,-13.191113,Industrials
KO,23.377987,43.288433,Consumer
MSFT,-56.408176,-21.90808,Info Tech
NVDA,56.97439,75.3503,Info Tech
XOM,-34.47973,-10.950337,Energy
CVX,-23.916483,-15.918274,Energy
NKE,-77.9104,-27.518488,Consumer
GS,-4.2431636,37.640095,Financials
JPM,-8.72059,22.329908,Financials
GOOGL,47.433586,71.60711,Info Tech
META,-37.53747,-21.065807,Info Tech
PFE,-17.95407,10.281266,Healthcare
DAL,8.570121,34.609005,Industrials
UNH,-67.250916,-25.514284,Healthcare
AAPL,3.4485145,26.146456,Info Tech
JNJ,20.37358,33.814972,Healthcare
