ticker,x,y,sector
AAPL,-47.168606,4.61205,Tech
BAC,-44.7088,13.96144,Finance
CAT,-4.352445,7.6592627,Industrial
CVX,12.819519,10.250746,Energy
DAL,-18.800627,7.559858,Industrial
GOOGL,23.28288,8.838797,Tech
GS,-27.544237,8.566143,Finance
HAL,37.201584,24.082893,Energy
JNJ,23.036541,18.485365,Healthcare
JPM,-36.840744,-0.30300176,Finance
KO,-23.905636,-0.36846536,Consumer
MCD,-75.32239,23.12137,Consumer
META,-82.1598,30.277502,Tech
MMM,-73.26048,31.325823,Industrial
MSFT,58.9806,-31.271526,Tech
NKE,62.388096,-39.450733,Consumer
NVDA,18.178122,-0.70264864,Tech
PFE,44.87547,18.278221,Healthcare
UNH,52.882175,-36.76155,Healthcare
XOM,31.870216,13.77926,Energy
