x,y
59.615192,23.53902
23.03197,51.80239
72.43128,-95.30078
70.93316,-69.37531
16.864134,63.310616
75.67783,-82.750496
43.062786,41.44618
64.78325,-81.26719
52.9271,33.258923
12.727083,52.90124
60.999165,-58.146263
-81.530464,38.589893
-73.32526,25.448332
-73.90186,43.617264
-84.51378,25.323126
-103.99202,39.959465
42.619816,31.266354
4.502856,61.467827
-90.87882,43.285458
60.23369,-69.87733
