ticker,x,y,sector
AAPL,12.978979,9.634489,Technology
BAC,2.1201687,2.0498695,Finance
CAT,-64.57713,-44.42519,Industrial
CVX,-61.28201,-36.553917,Energy
DAL,-3.067778,-6.733458,Industrial
GOOGL,-30.578453,-29.823198,Technology
GS,-21.834791,-24.233532,Finance
HAL,-25.569372,-16.861664,Energy
JNJ,-51.821114,-36.485573,Healthcare
JPM,8.96413,-3.5209532,Finance
KO,-36.208893,-23.548956,Consumer
MCD,23.81429,11.177806,Consumer
META,57.018368,45.96977,Technology
MMM,21.239466,19.852629,Industrial
MSFT,43.300465,47.42172,Technology
NKE,41.111637,55.325233,Consumer
NVDA,16.727861,1.6749831,Technology
PFE,-12.739176,-12.364083,Healthcare
UNH,49.737965,52.36255,Healthcare
XOM,-56.072483,-46.415638,Energy
