ticker,x,y,sector
AAPL,18.833874,-12.881768,Technology
BAC,25.89583,-9.205243,Finance
CAT,-30.901743,23.897245,Industrial
CVX,-32.503506,24.271292,Energy
DAL,27.955273,-9.173953,Transportation
GOOGL,26.543089,-8.561216,Technology
GS,28.456589,-9.173933,Finance
HAL,-31.237865,24.125349,Energy
JNJ,-32.725433,24.802057,Healthcare
JPM,26.285366,-9.614141,Finance
KO,-33.90118,24.138474,Consumer
MCD,18.47363,-12.461465,Consumer
META,19.223356,-13.067714,Technology
MMM,17.60773,-13.7004595,Industrial
MSFT,17.90159,-13.684046,Technology
NKE,17.153633,-12.596665,Consumer
NVDA,27.217606,-8.296025,Technology
PFE,-33.181786,23.44218,Healthcare
UNH,25.596375,-9.655574,Healthcare
XOM,-32.661137,24.066435,Energy
