Price,Open,High,Low,Close,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2025-04-22,55.26309699761563,56.667841598512034,54.86313476061211,55.66305923461914,16852200
2025-04-23,57.55556230592504,57.75066665122324,55.311871638260314,55.98497772216797,21660300
2025-04-24,56.394698772140124,57.262909225250425,55.731346212645654,57.04829406738281,14508500
2025-04-25,56.78490254678097,56.82392416034784,55.224075217165016,56.209346771240234,17156000
2025-04-28,56.316660095250064,56.65809366684609,55.40942795441581,55.906944274902344,13321200
2025-04-29,55.60453264788117,56.326417691561765,55.35089957493227,56.13131332397461,12968000
2025-04-30,54.49244159306864,55.20456935861879,53.40961590801764,55.019222259521484,17205900
2025-05-01,55.29236378029738,55.80938715980008,54.88264426119054,55.37040328979492,10527000
2025-05-02,56.45322732935523,57.2629090801267,55.90693961443083,57.155601501464844,14723900
2025-05-05,56.69711037473504,56.91172554545106,55.88743229474438,55.945960998535156,15971000
2025-05-06,55.75085845449792,56.306903449367475,55.39967135851588,55.643550872802734,11440300
2025-05-07,56.453229311025254,57.370218672647525,56.15082109287841,57.18486785888672,11883500
2025-05-08,58.228668664926815,58.91153201604371,57.3604582316192,57.46776580810547,19009000
2025-05-09,57.69213502198804,57.926260983816064,56.79466023114343,56.87269973754883,13954400
2025-05-12,60.85281207388934,61.91612681114806,60.29676712811518,61.047916412353516,29776600
2025-05-13,61.07718305411128,61.24301932918424,60.45285212462692,60.86256790161133,17003100
2025-05-14,60.53089258146459,61.33081706260129,60.01386922010465,60.218727111816406,13736300
2025-05-15,59.15541580629721,61.14547358363696,58.94080063776857,60.87232971191406,14371100
2025-05-16,60.96987861030175,62.18927618250779,60.96987861030175,61.564945220947266,12950600
2025-05-19,60.628447555537676,60.901591415383706,60.24799239478729,60.56016159057617,15105300
2025-05-20,60.96987563026194,61.642981717549915,60.755260477225534,61.02840805053711,10771800
2025-05-21,59.67243896305897,60.247994777140555,58.41402347236037,58.511573791503906,17354700
2025-05-22,59.096886262237945,60.11142222333305,58.68716673917719,59.81876754760742,16764500
2025-05-23,58.394511589293955,58.90178142637558,58.033570949540014,58.550594329833984,14282400
2025-05-27,59.63342000754952,61.301554995855135,59.35051887723633,61.29180145263672,16642100
2025-05-28,61.204001954504506,61.56494257841928,60.05289039804624,60.26750183105469,10015600
2025-05-29,60.960122238062766,61.360084474332666,59.63341714566333,59.93582534790039,12218000
2025-05-30,59.506602120906194,59.62366324704718,58.628634371583495,59.10663986206055,18155100
2025-06-02,58.969157692760554,60.49125845204703,58.52725650560347,60.46179962158203,14065300
2025-06-03,60.137739996961166,61.32596025078529,59.371776706482216,61.247398376464844,10286100
2025-06-04,61.25722178822677,61.905342281026584,61.14920108175407,61.640201568603516,10242300
2025-06-05,61.807140531873635,62.51418243848458,61.10992073287477,61.54199981689453,12336300
2025-06-06,61.54199748901582,61.95443983428337,61.00189771791173,61.66965866088867,13299600
2025-06-09,62.1606617733175,62.3472443584472,60.766222168856004,60.79568099975586,11640000
2025-06-10,61.257218670653614,63.00518286218299,61.12955750167964,62.72039794921875,15287000
2025-06-11,63.24086122756677,63.682758648099856,61.453619839251886,61.97407913208008,10238700
2025-06-12,61.61074100159068,61.797319832761524,60.64837677797849,61.66965866088867,9830500
2025-06-13,60.638559805858186,61.65001960469793,59.0280788168579,59.44051742553711,16509700
2025-06-16,60.27522101147782,61.0608210437966,60.13774147407659,60.78586196899414,13681600
2025-06-17,60.19665584030081,60.19665584030081,58.60581539367704,58.9200553894043,13649700
2025-06-18,58.92005923774385,59.36196043123422,58.301397566857325,58.43887710571289,14194300
2025-06-20,58.674555733562,58.9593369031167,58.12463386263254,58.713836669921875,19084000
2025-06-23,58.50761794866488,60.19665702235676,58.37013467005279,59.68601608276367,15921300
2025-06-24,60.226122408618025,60.864420803370805,59.39141932096772,60.31449890136719,12564000
2025-06-25,60.34395839873172,60.42251652584512,59.2735772263031,59.7351188659668,12186200
