ticker,x,y,sector
AAPL,-27.863008499145508,15.175617218017578,Tech
BAC,-15.976157188415527,10.692119598388672,Finance
CAT,30.542064666748047,-14.447627067565918,Industrial
CVX,32.430606842041016,-22.551328659057617,Energy
DAL,16.588123321533203,-9.765363693237305,Industrial
GOOGL,-1.3928637504577637,-3.8674089908599854,Tech
GS,9.796387672424316,-6.068281173706055,Finance
HAL,38.26515579223633,-18.261974334716797,Energy
JNJ,40.87809753417969,-25.09824562072754,Healthcare
JPM,-0.40554505586624146,3.09863543510437,Finance
KO,23.67166519165039,-14.192765235900879,Consumer
MCD,-22.497400283813477,18.793109893798828,Consumer
META,-37.55863571166992,23.77024269104004,Tech
MMM,-30.81665802001953,23.128482818603516,Industrial
MSFT,-44.615604400634766,29.24539566040039,Tech
NKE,-50.54264831542969,33.28085708618164,Consumer
NVDA,-9.345463752746582,7.358817100524902,Tech
PFE,-7.678252220153809,-0.5649089813232422,Healthcare
UNH,-45.333499908447266,37.704524993896484,Healthcare
XOM,39.93138885498047,-33.61502456665039,Energy
